"Week","SNFG","Reference","Product","Sediaan","Unit of Measure","Scheduled Start Date","Scheduled Finished Date","State","Manufacturing Order","Manufacturing Order/Finished Product/Lot/Serial Number"
"3","FT-LFT-W/I0007","MO-FT-LFT-BULK/I0009","[FT-LFT-BULK] Wardah Lightening Face Toner","L","kg","2023-01-17","2023-01-19","Done","MO/230002255","AJ16C"
"3","FT-NDATE-W/I0003","MO-FT-NDATE-BULK/I0003","[FT-NDATE-BULK] Wardah Nature Daily Aloe Toner Essence","L","kg","2023-01-19","2023-01-24","Done","MO/230003380","AJ20A"
"3","FT-RPHASN2-EM/I0002","MO-FT-PHASN2-BULK/I0002","[FT-PHASN2-BULK] EMINA Ms. Pimple Acne Solution Face Toner Revamp","L","kg","2023-01-14","2023-01-17","Done","MO/230002291","AJ16A"
"3","MY-FTLFT-W/I0003","MO-FT-LFT-BULK/I0010","[FT-LFT-BULK] Wardah Lightening Face Toner","L","kg","2023-01-19","2023-01-21","Done","MO/230002256","AJ18A"
"3","MY-FTLFT-W/I0004","MO-FT-LFT-BULK/I0011","[FT-LFT-BULK] Wardah Lightening Face Toner","L","kg","2023-01-20","2023-01-23","Done","MO/230002257","AJ21A"
"3","MY-FTLFT-W/I0005","MO-FT-LFT-BULK/I0012","[FT-LFT-BULK] Wardah Lightening Face Toner","L","kg","2023-01-21","2023-01-24","Done","MO/230002258","AJ21B"
"3","REM-EEM-W100ML/I0004","MO-REM-EEMA-BULK/I0004","[REM-EEMA-BULK] EyeXpert Eye Make Up Remover Fase A Bulk","L","kg","2023-01-14","2023-01-17","Done","MO/230002260","AJ16A"
"3","REM-EEM-W100ML/I0004","MO-REM-EEMB-BULK/I0004","[REM-EEMB-BULK] EyeXpert Eye Make Up Remover Fase B Bulk","L","kg","2023-01-14","2023-01-17","Done","MO/230002263","AJ16A"
"3","REM-EEM-W100ML/I0005","MO-REM-EEMA-BULK/I0005","[REM-EEMA-BULK] EyeXpert Eye Make Up Remover Fase A Bulk","L","kg","2023-01-14","2023-01-17","Done","MO/230002259","AJ16B"
"3","REM-EEM-W100ML/I0005","MO-REM-EEMB-BULK/I0005","[REM-EEMB-BULK] EyeXpert Eye Make Up Remover Fase B Bulk","L","kg","2023-01-14","2023-01-17","Done","MO/230002264","AJ16B"
"3","REM-EEM-W50ML/I0001","MO-REM-EEMA-BULK/I0006","[REM-EEMA-BULK] EyeXpert Eye Make Up Remover Fase A Bulk","L","kg","2023-01-16","2023-01-18","Done","MO/230002261","AJ16C"
"3","REM-EEM-W50ML/I0001","MO-REM-EEMB-BULK/I0006","[REM-EEMB-BULK] EyeXpert Eye Make Up Remover Fase B Bulk","L","kg","2023-01-16","2023-01-18","Done","MO/230002265","AJ17A"
"3","REM-EEM-W50ML/I0002","MO-REM-EEMA-BULK/I0007","[REM-EEMA-BULK] EyeXpert Eye Make Up Remover Fase A Bulk","L","kg","2023-01-16","2023-01-18","Done","MO/230002262","AJ17A"
"3","REM-EEM-W50ML/I0002","MO-REM-EEMB-BULK/I0007","[REM-EEMB-BULK] EyeXpert Eye Make Up Remover Fase B Bulk","L","kg","2023-01-16","2023-01-18","Done","MO/230002266","AJ17B"
"3","REM-OIMW-MO/I0006","MO-REM-OIMWB-BULK/I0006","[REM-OIMWB-BULK] Make Over Powerskin Bi-Phase Micellar Oil Water Fase B","L","kg","2023-01-17","2023-01-18","Done","MO/230002284","AJ17A"
"3","REM-OIMW-MO/I0007","MO-REM-OIMWB-BULK/I0007","[REM-OIMWB-BULK] Make Over Powerskin Bi-Phase Micellar Oil Water Fase B","L","kg","2023-01-17","2023-01-19","Done","MO/230002283","AJ17B"
"3","REM-OIMW-MO/I0008","MO-REM-OIMWB-BULK/I0008","[REM-OIMWB-BULK] Make Over Powerskin Bi-Phase Micellar Oil Water Fase B","L","kg","2023-01-18","2023-01-19","Done","MO/230002285","AJ18A"
"3","REM-RBSMWN1-EM/I0003","MO-REM-RBSMW-BULK/I0004","[REM-RBSMW-BULK] Emina Bright Stuff Micellar Water","L","kg","2023-01-16","2023-01-18","Done","MO/230002286","AJ16A"
