"SNFG","Reference","Product","Sediaan","Scheduled Start Date","Scheduled Finished Date","Manufacturing Order"
"L-HSLWA-MO/I0015","L-HSLWA-MO/I0015","[L-HSLWA-MO] Make Over Hydrastay Smooth Lip Whip C01 Grace 6.5 g","S","2023-05-11","2023-05-14","MO/230025054"
"L-HSLWE-MO/I0018","L-HSLWE-MO/I0018","[L-HSLWE-MO] Make Over Hydrastay Smooth Lip Whip C05 Swift 6.5 g","S","2023-05-11","2023-05-14","MO/230025055"
"L-HSLWL-MO/I0016","L-HSLWL-MO/I0016","[L-HSLWL-MO] Make Over Hydrastay Smooth Lip Whip C12 Detail 6.5 g","S","2023-05-11","2023-05-14","MO/230025056"
"L-LL01-W2.3G/I0005","L-LL01-W2.3G/I0005","[L-LL01-W2.3G] Wardah Lipstick Longlasting 01 Fabulous Peach 2.3 g (Pc(s))","S","2023-05-11","2023-05-14","MO/230025059"
"L-LL10-W2.3G/I0008","L-LL10-W2.3G/I0008","[L-LL10-W2.3G] Wardah Lipstick Longlasting 10 Stylish Mocca 2.3 g (Pc(s))","S","2023-05-11","2023-05-14","MO/230025061"
"LB-STSPC-EM/I0028","LB-STSPC-EM/I0028","[LB-STSPC-EM] Emina Oh So Kissable Tinted Balm Stick Plum Candy 3.4 g","S","2023-05-11","2023-05-14","MO/230025073"
"LB-STSPC-EM/I0029","LB-STSPC-EM/I0029","[LB-STSPC-EM] Emina Oh So Kissable Tinted Balm Stick Plum Candy 3.4 g","S","2023-05-11","2023-05-14","MO/230025074"
"L-CVM012-W/I0011","L-CVM012-W/I0011","[L-CVM012-W] Wardah Colorfit Velvet Matte Lip Mousse 12 Chic Terracotta 4 g","S","2023-05-09","2023-05-10","MO/230025081"
"L-CUM07-W/I0014","L-CUM07-W/I0014","[L-CUM07-W] Wardah Colorfit Ultralight Matte Lipstick 07 Crimson Red 3.6 g","S","2023-05-11","2023-05-14","MO/230025095"
"L-CUMKORD-W/I0028","L-CUMKORD-W/I0028","[L-CUMKORD-W] Wardah Colorfit Ultralight Matte Lipstick 12 Autumn Nami 3.6 g","S","2023-05-11","2023-05-14","MO/230025099"
"L-CUMKORA-W/I0016","L-CUMKORA-W/I0016","[L-CUMKORA-W] Wardah Colorfit Ultralight Matte Lipstick 09 Romantic Namsan 3.6 g","S","2023-05-11","2023-05-14","MO/230025104"
"LB-EVFSG-W4G/I0036","LB-EVFSG-W4G/I0036","[LB-EVFSG-W4G] Wardah Everyday Fruity Sheer Lip Balm Grape 4 g","S","2023-05-11","2023-05-14","MO/230025118"
"SS-NCSW-KA/I0001","SS-NCSW-KA/I0001","[SS-NCSW-KA] Kahf Nature-Charged SPF50 PA++++ Skin Soothing and Waterproof Sunscreen Stick 20 g","S","2023-05-12","2023-05-13","MO/230025137"
"CONP-EFCCR0-W/PLI0031","CONP-EFCCR0-W/PLI0031","[CONP-EFCCR0-W] Container Printing Exclusive Flawless Cover Cushion Wardah,3 Pass Digital Printed","J6","2023-05-12","2023-05-15","MO/230025146"
"MA-MSCDP-W/I0002","MA-MSCDP-W/I0002","[MA-MSCDP-W] Wardah C-defense SuperSerum Mask 20 ml <SFG>","L","2023-05-12","2023-05-12","MO/230025297"
"MY-FWBSACNE-EM/I0005","MY-FWBSACNE-EM/I0005","[MY-FWBSACNE-EM] Malaysia Emina Bright Stuff for Acne Prone Skin Face Wash 100 ml","J6","2023-05-03","2023-05-11","MO/230025338"
"MY-CUSPDMCN10-MO/I0004","MY-CUSPDMCN10-MO/I0004","[MY-CUSPDMCN10-MO] Malaysia MAKE OVER Powerstay Demi-Matte Cover Cushion N10 Marble 15 g","J6","2023-05-03","2023-05-15","MO/230025398"
