"SNFG","Reference","Product","Sediaan","Scheduled Start Date","Scheduled Finished Date","Operation Type","Manufacturing Order","State","Streamline","Unit of Measure"
"B-W3ELFP01-W30G/I0007","B-W3ELFP01-W30G/I0007","[B-W3ELFP01-W30G] Wardah Evd Lum Face Powder 01 Light Beige 30 g (Pc(s))","P","2023-01-30","2023-02-03","PTI: Jatake 1 - Kemas","MO/230004711","Confirmed","C","Pc(s)"
"B-W3ELFP01-W30G/I0007","MO-B-W1T3LFP01-BULK/I0007","[B-W1T3LFP01-BULK] Luminous Face Powder 01","P","2023-01-30","2023-02-03","PTI: Jatake 1 - Olah","MO/230005112","Confirmed","C","kg"
"B-W3ELFP03-W30G/I0004","B-W3ELFP03-W30G/I0004","[B-W3ELFP03-W30G] Wardah Evd Lum Face Powder 03 Ivory 30 g (Pc(s))","P","2023-01-30","2023-02-03","PTI: Jatake 1 - Kemas","MO/230004713","Confirmed","C","Pc(s)"
"B-W3ELFP03-W30G/I0004","MO-B-W1T3LFP03-BULK/I0004","[B-W1T3LFP03-BULK] Luminous Face Powder 03","P","2023-01-30","2023-02-03","PTI: Jatake 1 - Olah","MO/230005114","Confirmed","C","kg"
"B-W3ELFP04-W30G/I0005","B-W3ELFP04-W30G/I0005","[B-W3ELFP04-W30G] Wardah Evd Lum Face Powder 04 Natural 30 g (Pc(s))","P","2023-01-30","2023-02-03","PTI: Jatake 1 - Kemas","MO/230004714","Confirmed","C","Pc(s)"
"B-W3ELFP04-W30G/I0005","MO-B-W0T3LFP04-BULK/I0005","[B-W0T3LFP04-BULK] Luminous Face Powder 04","P","2023-01-30","2023-02-03","PTI: Jatake 1 - Olah","MO/230005129","Confirmed","C","kg"
"B-W3ELFP04-W30G/I0006","B-W3ELFP04-W30G/I0006","[B-W3ELFP04-W30G] Wardah Evd Lum Face Powder 04 Natural 30 g (Pc(s))","P","2023-01-31","2023-02-03","PTI: Jatake 1 - Kemas","MO/230004715","Confirmed","C","Pc(s)"
"B-W3ELFP04-W30G/I0006","MO-B-W0T3LFP04-BULK/I0006","[B-W0T3LFP04-BULK] Luminous Face Powder 04","P","2023-01-31","2023-02-03","PTI: Jatake 1 - Olah","MO/230005318","Confirmed","C","kg"
"B-BSLP-EM/I0032","B-BSLP-EM/I0032","[B-BSLP-EM] Emina Bright Stuff Loose Powder 55 g","P","2023-01-31","2023-02-03","PTI: Jatake 1 - Kemas","MO/230004720","Confirmed","C","Pc(s)"
"B-BSLP-EM/I0032","MO-B-BSLP-BULK/I0032","[B-BSLP-BULK] Emina Bright Stuff Loose Powder","P","2023-01-31","2023-02-03","PTI: Jatake 1 - Olah","MO/230005316","Confirmed","C","kg"
"B-BSLP-EM/I0033","B-BSLP-EM/I0033","[B-BSLP-EM] Emina Bright Stuff Loose Powder 55 g","P","2023-02-01","2023-02-03","PTI: Jatake 1 - Kemas","MO/230004721","Confirmed","C","Pc(s)"
"B-BSLP-EM/I0033","MO-B-BSLP-BULK/I0033","[B-BSLP-BULK] Emina Bright Stuff Loose Powder","P","2023-02-01","2023-02-03","PTI: Jatake 1 - Olah","MO/230005234","Confirmed","C","kg"
"B-BSLP-EM/I0034","B-BSLP-EM/I0034","[B-BSLP-EM] Emina Bright Stuff Loose Powder 55 g","P","2023-02-01","2023-02-03","PTI: Jatake 1 - Kemas","MO/230004722","Confirmed","C","Pc(s)"
"B-BSLP-EM/I0034","MO-B-BSLP-BULK/I0034","[B-BSLP-BULK] Emina Bright Stuff Loose Powder","P","2023-02-01","2023-02-03","PTI: Jatake 1 - Olah","MO/230005228","Confirmed","C","kg"
