"Reference","Source Location","Destination Location","Contact","Scheduled Date","Source Document","Status","Activity Exception Decoration"
"INT/220443357","JTK 1/Stock/RM","JTK 1/Staging Olah","","2022-12-24 00:00:00","MO/220057235","Ready",""
"INT/220443449","JTK 1/Stock/RM","JTK 1/Staging Olah","","2022-12-24 00:00:00","MO/220057237","Ready",""
"INT/220451804","JTK 1/Stock/RM","JTK 1/Staging Olah","","2022-12-27 00:00:00","MO/220057304","Ready",""
"INT/220450672","JTK 1/Stock/RM","JTK 1/Staging Olah","","2022-12-27 00:00:00","MO/220057318","Ready",""
"INT/230000925","JTK 1/Stock/RM","JTK 1/Staging Olah","","2022-12-30 00:00:00","MO/220057786","Ready",""
"INT/230000930","JTK 1/Stock/RM","JTK 1/Staging Olah","","2022-12-30 00:00:00","MO/220057788","Ready",""
"INT/220455063","JTK 1/Stock/RM","JTK 1/Staging Olah","","2022-12-30 00:00:00","MO/220058004","Ready",""
"INT/220455029","JTK 1/Stock/RM","JTK 1/Staging Olah","","2022-12-30 00:00:00","MO/220058008","Ready",""
"INT/230003548","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-02 00:00:00","MO/220058020","Ready",""
"INT/230001568","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-02 00:00:00","MO/220058019","Ready",""
"INT/230002563","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-02 00:00:00","MO/220058036","Ready",""
"INT/230001759","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-02 00:00:00","MO/220058051","Ready",""
"INT/230001579","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-02 00:00:00","MO/220058050","Ready",""
"INT/230003589","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-02 00:00:00","MO/220058052","Ready",""
"INT/230004762","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-02 00:00:00","MO/220058055","Ready",""
"INT/230007337","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-03 00:00:00","MO/220058063","Ready",""
