"id","name","origin","state"
"__export__.stock_picking_24638_5b219ebf","VCI/32251020012812","VCI#MO/220001506","Ready"
"__export__.stock_picking_25406_f4376b3e","VCI/32251020013233","VCI#MO/220001508","Ready"
"__export__.stock_picking_26441_679c81d7","VCI/32251020013851","VCI#MO/220001732","Ready"
"__export__.stock_picking_26606_f44e5328","VCI/32251020013932","VCI#MO/220001631","Ready"
"__export__.stock_picking_27179_4568425a","VCI/32251020014289","VCI#MO/220001069","Ready"
"__export__.stock_picking_27181_9fae264a","VCI/32251020014290","VCI#MO/220001056","Ready"
"__export__.stock_picking_27182_8d6b5b4b","VCI/32251020014291","VCI#MO/220000955","Ready"
"__export__.stock_picking_27183_d5aac5cd","VCI/32251020014292","VCI#MO/220000994","Ready"
"__export__.stock_picking_27666_399f8473","VCI/32251020014554","VCI#MO/220001788","Ready"
"__export__.stock_picking_27974_0cbd2e7f","VCI/32251020014712","VCI#MO/220001842","Waiting"
"__export__.stock_picking_28748_20fa80a6","VCI/32251020015203","VCI#MO/220002052","Ready"
"__export__.stock_picking_29815_92e9e62b","VCI/32251020015807","VCI#MO/220001849","Ready"
"__export__.stock_picking_30689_f9c28133","VCI/32251020016264","VCI#MO/220002220","Ready"
"__export__.stock_picking_31009_7c877ec0","VCI/32251020016457","VCI#MO/220002275","Ready"
"__export__.stock_picking_31010_386cbdea","VCI/32251020016458","VCI#MO/220002276","Ready"
"__export__.stock_picking_31011_67434eed","VCI/32251020016459","VCI#MO/220002277","Ready"
"__export__.stock_picking_31124_bf1b3835","VCI/32251020016543","VCI#MO/220002082","Ready"
"__export__.stock_picking_31213_0f7dec52","VCI/32251020016621","VCI#MO/220002085","Ready"
"__export__.stock_picking_31278_06cd93b9","VCI/32251020016672","VCI#MO/220002071","Ready"
"__export__.stock_picking_31980_a28388fb","VCI/32251020017110","VCI#MO/220002232","Waiting"
"__export__.stock_picking_32559_e226c551","VCI/32251020017445","VCI#MO/220002350","Ready"
"__export__.stock_picking_32701_e9744cce","VCI/32251020017536","VCI#MO/220002351","Ready"
"__export__.stock_picking_33070_d1a8608b","VCI/32251020017784","VCI#MO/220002444","Ready"
"__export__.stock_picking_33072_6550d35c","VCI/32251020017786","VCI#MO/220002446","Ready"
"__export__.stock_picking_33073_6f50205f","VCI/32251020017787","VCI#MO/220002447","Ready"
"__export__.stock_picking_33074_c75e27be","VCI/32251020017788","VCI#MO/220002448","Ready"
"__export__.stock_picking_33075_d059205b","VCI/32251020017789","VCI#MO/220002449","Ready"
"__export__.stock_picking_33076_cd60288f","VCI/32251020017790","VCI#MO/220002450","Ready"
"__export__.stock_picking_33080_c4135b65","VCI/32251020017794","VCI#MO/220002454","Ready"
"__export__.stock_picking_33081_82fcbb05","VCI/32251020017795","VCI#MO/220002455","Ready"
"__export__.stock_picking_33086_59172227","VCI/32251020017800","VCI#MO/220002457","Ready"
"__export__.stock_picking_33695_3bcc0e09","VCI/32251020018156","VCI#MO/220002485","Ready"
"__export__.stock_picking_33699_0d888c3a","VCI/32251020018160","VCI#MO/220002487","Ready"
"__export__.stock_picking_36063_749502fa","VCI/32251020019737","VCI#MO/220002522","Waiting"
"__export__.stock_picking_37000_a05fe73a","VCI/32251020020343","VCI#MO/220002523","Waiting"
"__export__.stock_picking_34175_5bfa1363","VCI/32251020018500","VCI#MO/220002546","Ready"
"__export__.stock_picking_34176_428a4e26","VCI/32251020018501","VCI#MO/220002547","Ready"
"__export__.stock_picking_34177_8c80e615","VCI/32251020018502","VCI#MO/220002548","Ready"
"__export__.stock_picking_34530_e403f83a","VCI/32251020018741","VCI#MO/220002271","Waiting"
"__export__.stock_picking_34698_42a48521","VCI/32251020018825","VCI#MO/220002597","Ready"
"__export__.stock_picking_34852_3a4ff0a6","VCI/32251020018942","VCI#MO/220002618","Ready"
"__export__.stock_picking_36997_eccd1ff5","VCI/32251020020340","VCI#MO/220002622","Waiting"
