"Korporat Code","Name","Net Weight"
"L-CM06-EM5.5GR","Emina Creamatte 06 Jelly Bean 5.5 gr (Pc(s))","5.5"
"L-CM07-EM5.5GR","Emina Creamatte 07 Tumbleweed 5.5 gr (Pc(s))","5.5"
"L-CM08-EM5.5GR","Emina Creamatte 08 Pumpkin Spice 5.5 gr","5.5"
"L-CM09-EM5.5GR","Emina Creamatte 09 Baby Fox 5.5 gr","5.5"
"L-CM10-EM5.5GR","Emina Creamatte 10 Starfish 5.5 gr","5.5"
"L-CM11-EM5.5GR","Emina Creamatte 11 Amazeballs 5.5 gr","5.5"
"L-CM12-EM5.5GR","Emina Creamatte 12 Perky Plum 5.5 gr","5.5"
"L-CM13-EM5.5GR","Emina Creamatte 13 Beet Bites 5.5 gr","5.5"
"L-CM14-EM5.5GR","Emina Creamatte 14 Gingerale 5.5 gr","5.5"
"L-CM15-EM5.5GR","Emina Creamatte 15 Chocopuff 5.5 gr","5.5"
