Process code;Routing Type;Item code;Refill code;Bulk code;Bulk size;Bulk size_FM;Priority;Filling/Packing line code;Filling/Packing ALT;Filling/Packing loss rate;Filling/Packing production rate;Filling/Packing production rate with change over;Efficiency of Packing;Pressing code;Pressing ALT.;Pressing loss rate;Pressing production rate;Pressing production rate with change over;Efficiency of Pressing;Shieving code;Shieving ALT.;Shieving loss rate;Shieving production rate;Shieving production rate with change over;Efficiency of Shieving;Grinding code;Grinding ALT.;Grinding loss rate;Grinding production rate;Grinding production rate with change over;Efficiency of Grinding;Mixing code;Mixing ALT.;Mixing loss rate;Mixing production rate;Mixing production rate with change over;Efficiency of Mixing;Weighing code;Weighing ALT.;Weighing loss rate;Weighing production rate;Weighing production rate with change over;Efficiency of Weighing;Labelling line code;Labelling ALT;Labelling loss rate;Labelling production rate;Labelling production rate with change over;Efficiency of Labelling
PRESSTHENFILLINGPACKING;PR03;FA-EGH-W;FA-EGH-RP-W6,5G;FA-EGH-BULK;14;14;SECONDARY_LINE;PCP03;1;0;240;205;0.86;PEP04;1;0.064;240;205.37;0.86;PMS02;1;0;1;1;1;PMG05;1;0;0.57;0.4;0.7;PSM15;1;0;0.67;0.4;0.6;PWE02;1;0;1.33;1.33;1;;;;;;
PRESSTHENFILLINGPACKING;PR03;FA-EGH-W;FA-EGH-RP-W6,5G;FA-EGH-BULK;60;60;NOMINAL_LINE;PCP03;1;0;240;230;0.96;PEP04;1;0.0692;900;776.62;0.86;PMS01;1;0;1;1;1;PVT08;1;0;0.4;0.31;0.77;PSM05;1;0;0.44;0.33;0.75;PWE02;1;0;1.33;1.33;1;;;;;;
PRESSTHENFILLINGPACKING;PR03;FA-RGH-MO13G;FA-RGH-RP-MO13GR;FA-RGH-BULK;14;14;NOMINAL_LINE;PCP01;1;0;240;175;0.73;PEP04;1;0.1531;600;310.56;0.52;PMS02;1;0;1;1;1;PMG05;1;0;0.67;0.33;0.5;PSM15;1;0;0.57;0.36;0.64;PWE02;1;0;1.5;1.5;1;;;;;;
PRESSTHENFILLINGPACKING;PR03;FA-RGH-MO13G;FA-RGH-RP-MO13GR;FA-RGH-BULK;18;18;SECONDARY_LINE;PCP01;1;0;240;177;0.74;PEP04;1;0.3067;600;318.23;0.53;PMS01;1;0;1;1;1;PMG03;1;0;0.67;0.33;0.5;PSM06;1;0;0.67;0.4;0.6;PWE02;1;0;1.5;1.5;1;;;;;;
COPACKING;PR03;FA-UGHP-MO;FA-UGHP-G-RP-MO3,5GR;FA-UGHP-G-BULK;3;9;SECONDARY_LINE;PCP03;1;0;240;124;0.52;PEP05;3;0;600;179.25;0.3;PMS01;1;0;1;1;1;PMG04;1;0;0.67;0.33;0.5;PSM09;1;0;0.5;0.33;0.67;PWE02;1;0;1.2;1.2;1;;;;;;
COPACKING;PR03;FA-UGHP-MO;FA-UGHP-G-RP-MO3,5GR;FA-UGHP-G-BULK;7;21;NOMINAL_LINE;PCP03;1;0;240;190;0.79;PEP05;3;0;600;363.64;0.61;PMS01;1;0;1;1;1;PMG05;1;0;0.67;0.33;0.5;PSM15;1;0;0.5;0.33;0.67;PWE02;1;0;1.2;1.2;1;;;;;;
COPACKING;PR03;FA-UGHP-MO;FA-UGHP-P-RP-MO3,5GR;FA-UGHP-P-BULK;3;9;SECONDARY_LINE;PCP03;1;0;240;124;0.52;PEP05;2;0;600;179.25;0.3;PMS01;1;0;1;1;1;PMG04;1;0;0.67;0.33;0.5;PSM09;1;0;0.5;0.33;0.67;PWE02;1;0;0.92;0.92;1;;;;;;
COPACKING;PR03;FA-UGHP-MO;FA-UGHP-P-RP-MO3,5GR;FA-UGHP-P-BULK;7;21;NOMINAL_LINE;PCP03;1;0;240;190;0.79;PEP05;2;0;600;363.64;0.61;PMS01;1;0;1;1;1;PMG05;1;0;0.67;0.33;0.5;PSM15;1;0;0.5;0.33;0.67;PWE02;1;0;0.92;0.92;1;;;;;;
COPACKING;PR03;FA-UGHP-MO;FA-UGHP-W-RP-MO3,5GR;FA-UGHP-W-BULK;3;9;SECONDARY_LINE;PCP03;1;0;240;124;0.52;PEP05;1;0;600;179.25;0.3;PMS01;1;0;1;1;1;PMG04;1;0;0.67;0.33;0.5;PSM09;1;0;0.5;0.33;0.67;PWE02;1;0;0.92;0.92;1;;;;;;
COPACKING;PR03;FA-UGHP-MO;FA-UGHP-W-RP-MO3,5GR;FA-UGHP-W-BULK;7;21;NOMINAL_LINE;PCP03;1;0;240;190;0.79;PEP05;1;0;600;363.64;0.61;PMS01;1;0;1;1;1;PMG05;1;0;0.67;0.33;0.5;PSM15;1;0;0.5;0.33;0.67;PWE02;1;0;0.92;0.92;1;;;;;;
