Product Korporat Code,BoM Lines/Product Template/Korporat Code
F-IPSF15-W,KB-WELTWCB-KMM125CF
SRM-PGN1VC-OMG,SRM-PG-BULK
SRM-PGN1VC-OMG,BOTO-GPGS20R0-OMG
SRM-PGN1VC-OMG,PLU-WBPGS20-OMG
SRM-PGN1VC-OMG,PIP-DB20S-X
L-EMC15-W4GR,L-EMC15-BULK
L-EMC15-W4GR,PLU-BEMLCR0-W
L-EMC15-W4GR,BOTO-EMLCR1-W
L-EMC15-W4GR,CAPA-EMLCR2-W
L-EMC15-W4GR,STIC-BOTEMLC15R-1WPS
L-EMC15-W4GR,DUSS-EMLC15H-W
L-EMC15-W4GR,IBOX-RRPEMLCR0-W
L-EMC15-W4GR,KB-WIOTAR1-W
L-EMC16-W4GR,L-EMC16-BULK
L-EMC16-W4GR,PLU-BEMLCR0-W
L-EMC16-W4GR,BOTO-EMLCR1-W
L-EMC16-W4GR,CAPA-EMLCR2-W
L-EMC16-W4GR,STIC-BOTEMLC16R-1WPS
L-EMC16-W4GR,DUSS-EMLC16H-W
L-EMC16-W4GR,IBOX-RRPEMLCR0-W
L-EMC16-W4GR,KB-WIOTAR1-W
"ES-W1A-W3,3GR","ES-W1A-01-RP-W1,1GR"
"ES-W1A-W3,3GR","ES-W1A-02-RP-W1,1GR"
"ES-W1A-W3,3GR","ES-W1A-03-RP-W1,1GR"
"ES-W1A-W3,3GR",CONT-ESEW-SAN
"ES-W1A-W3,3GR",KUAS-ESSNBRWP2K-BT
"ES-W1A-W3,3GR",PLAS-DMESBOR0-W
"ES-W1A-W3,3GR",STIC-BOTESAR0-WPSM
"ES-W1A-W3,3GR",PS-PVCEESBOR1-WPVC
"ES-W1A-W3,3GR",KB-W6040R2-W
HBW-R-KA,HBW-R-BULK
HBW-R-KA,BOTO-AFRBW-K
HBW-R-KA,CAP-DTHBWR0-K
HBW-R-KA,KB-KAHFCR0-K
L-CUSH02-EM,L-CUSH02-BULK
L-CUSH02-EM,TUBE-LC02BR0-ECE
L-CUSH02-EM,PLU-TLC02B-E
L-CUSH02-EM,CAP-TLC02B-E
L-CUSH02-EM,DUS-LC02BR1-ELD
L-CUSH02-EM,IBOX-12EG-ED31
L-CUSH02-EM,KB-ECR1-KMK125CF
L-MC06-EM,L-MC06-BULK
L-MC06-EM,CAPC-MTCR0-E
L-MC06-EM,CONT-MTCR0-E
L-MC06-EM,STIC-BMTC6R0-E
L-MC06-EM,DUS-MTC6R0-E
L-MC06-EM,IBOX-12EE-ED31
L-MC06-EM,KB-ECR1-KMK125CF
L-REMO41-W,L-REMO41-BULK
L-REMO41-W,CAPC-EMLRLR0-WRL
L-REMO41-W,CONT-EMLRLR0-WRL
L-REMO41-W,STIC-BTEMO41R0-WCNF
L-REMO41-W,DUS-EMOR0-WIMVG
