item_code,product_description
CUS-RVPDMCC21-MO,MAKE OVER Powerstay Demi-Matte Cover Cushion C21 Pink Ivory 15 g Relaunch
CUS-RVPDMCC51-MO,MAKE OVER Powerstay Demi-Matte Cover Cushion C51 Cool Tan 15 g Relaunch
CUS-RVPDMCN10-MO,MAKE OVER Powerstay Demi-Matte Cover Cushion N10 Marble 15 g Relaunch
CUS-RVPDMCN30-MO,MAKE OVER Powerstay Demi-Matte Cover Cushion N30 Natural Beige 15 g Relaunch
CUS-RVPDMCN50-MO,MAKE OVER Powerstay Demi-Matte Cover Cushion N50 Tan 15 g Relaunch
CUS-RVPDMCW22-MO,MAKE OVER Powerstay Demi-Matte Cover Cushion W22 Warm Ivory 15 g Relaunch
CUS-RVPDMCW30-MO,MAKE OVER Powerstay Demi-Matte Cover Cushion W30 Creme Beige 15 g Relaunch
CUS-RVPDMCW33-MO,MAKE OVER Powerstay Demi-Matte Cover Cushion W33 Honey Beige 15 g Relaunch
CUS-RVPDMCW41-MO,MAKE OVER Powerstay Demi-Matte Cover Cushion W41 Coral Sand 15 g Relaunch
CUS-RVPDMCW42-MO,MAKE OVER Powerstay Demi-Matte Cover Cushion W42 Warm Sand 15 g Relaunch
D-DEN01-B,Beyondly Diffuser Eternal 230 ml
D-RO-KA,Kahf Soothing Antiperspirant Deodorant 50 ml
D-RO01-KA,Kahf Cooling Impact Antiperspirant Deodorant 45 ml
D-RO02-KA,Kahf Dynamics Force Antiperspirant Deodorant 45 ml
D-RRO-KA,Kahf Antibacterial Shield Antiperspirant Deodorant 45 ml
D-W1R1HER-W60ML,Wardah Roll On For Her 60 ml
DDC-CDL-W20ML,Wardah C-Defense DD Cream Light 20 ml (Pc(s))
DDC-CDN-W20ML,Wardah C-Defense DD Cream Natural 20 ml (Pc(s))
EB-ABBL-EM1.2GR,Emina Agent of Brow Black 1.2 gr (Pc(s))
EB-ABBR-EM1.2GR,Emina Agent of Brow Brown 1.2 gr (Pc(s))
EB-DK01-MO,MAKE OVER Eye Brow Definition Kit 01 Dark Brown 6.9 g
EB-DK02-MO,MAKE OVER Eye Brow Definition Kit 02 Grey Brown 6.9 g
EB-DMCC-MO,MAKE OVER Powerstay Brow Definer Mascara 03 Coffee Cream 6.5 g
EB-DMCL-MO,MAKE OVER Powerstay Brow Definer Mascara 02 Chocolate 6.5 g
EB-DMLB-MO,MAKE OVER Powerstay Brow Definer Mascara 01 Long Black 6.5 g
EB-EK-W3G,Wardah EyeXpert Eyebrow Kit 3 g (Pc(s))
EB-EXPMBD01-W,Wardah EyeXpert Matic Brow Definer 01 LIGHT BROWN 0.25 g
EB-EXPMBD02-W,Wardah EyeXpert Matic Brow Definer 02 DARK BROWN 0.25 g
EB-EXPMBD03-W,Wardah EyeXpert Matic Brow Definer 03 DARK GREY 0.25 g
EB-IPB3M01-W5.5G,Wardah Instaperfect BROWFESSIONAL 3D Brow Mascara 01. BROWN 5.5 g
EB-IPB3M02-W5.5G,Wardah Instaperfect BROWFESSIONAL 3D Brow Mascara 02. DEEP GREY 5.5 g
EB-IPEM01-W,Wardah Instaperfect BROWFLASH 3-in-1 Brow Perfector 01 True Brown 0.6 g
EB-IPEM02-W,Wardah Instaperfect BROWFLASH 3-in-1 Brow Perfector 02 Ash Brown 0.6 g
"EB-PBE-MO1,14G","MAKE OVER Eyebrow Pencil Brown To Earth 1,14 g (Pc(s))"
"EB-PBL-MO1,14G","MAKE OVER Eyebrow Pencil Black Lines 1,14 g (Pc(s))"
EB-R2SEDA-MO,MAKE OVER Brow Styler Eye Definer Americano 0.13 g
EB-R2SEDM-MO,MAKE OVER Brow Styler Eye Definer Mocha 0.13 g
EB-REPBL-W,Wardah EyeXpert Eyebrow Pencil Black 1.14 g (Blister)
EB-REPBR-W,Wardah EyeXpert Eyebrow Pencil Brown 1.14 g (Blister)
EB-SMUEMA-EM,Emina Squeeze Me Up Browcara Woody 8 g
EB-SMUEMB-EM,Emina Squeeze Me Up Browcara Ashy 8 g
EB-SMUEMC-EM,Emina Squeeze Me Up Browcara Clear
EB-TS-EM2.9GR,Emina Top Secret Eyebrow 2.9 gr (Pc(s))
EC-RRYAG-W,Wardah Renew You Eye Cream 10 g (Pc(s))
EC-RWSB-W,Wardah Crystal Secret Eyes Dark Circle Corrector 10 ml
EL-EDCPBL-EM0.2GR,Emina Eye Do! Crayon Pour Les Yeux Black 0.2 gr (Pc(s))
EL-EDPBL-EM1GR,Emina Eye Do! Pencil Eye Liner Black 1 gr (Pc(s))
EL-EDPBR-EM1GR,Emina Eye Do! Pencil Eye Liner Brown 1 gr (Pc(s))
EL-ELT-EM,Emina Total Eclipse Pen Liner 1 ml
EL-EOHB-W1GR,Wardah EyeXpert Optimum Hi-Black Liner 1 gr (Pc(s))
"EL-ESL-W3,5GR","Wardah Eyexpert Staylast Liquid Eyeliner 3,5 gr (Pc(s))"
EL-EXPELB-W,Wardah EYEXPERT Perfect Precision Liner 1 ml
EL-HBS-MO1G,MAKE OVER Hyperblack Superstay Liner 1 g
EL-IPHPB-W1G,Wardah Instaperfect HYPERGETIC Precise Black Liner 1 g
"EL-LB-MO1,7ML","MAKE OVER Liquid Eye Liner Black 1,7 ml (Pc(s))"
"EL-PBJ-MO1,2G","MAKE OVER Eye Liner Pencil Black Jack 1,2 g (Pc(s))"
"EL-PBL-MO1,2G","MAKE OVER Eye Liner Pencil Brown Latte 1,2 g (Pc(s))"
"EL-PNB-MO1,2G","MAKE OVER Eye Liner Pencil Navy Blue 1,2 g (Pc(s))"
EL-PNS-MO1.2G,"MAKE OVER Eye Liner Pencil Nude Sleek 1,2 g (Pc(s))"
EL-PPLCB-MO2.7G,MAKE OVER Powerstay Precision Liquid Liner Cobalt Blue 2.7 g
EL-PPLJB-MO2.7G,MAKE OVER Powerstay Precision Liquid Liner Jet Black 2.7 g
EL-PSL-MO1.2G,"MAKE OVER Eye Liner Pencil Silver Lines 1,2 g (Pc(s))"
"EL-PWT-MO1,2G","MAKE OVER Eye Liner Pencil White Techno 1,2 g (Pc(s))"
EL-W1B-WTA,Wardah Eye Liner Black
EO-BOBR01-B,Beyondly Essential Blend Oil Gentle Breeze 10 ml
EO-BOCR01-B,Beyondly Essential Blend Oil Rain Away 10 ml
