item_code,product_description
L-PGTC-MO,MAKE OVER Powerstay Glossy Lip Top Coat 6.2 g
L-PTGL1-MO,Make Over Glassy Lip Lacquer 401 Edge 4.5 g
L-PTGL2-MO,Make Over Glassy Lip Lacquer 402 Social 4.5 g
L-PTGL3-MO,Make Over Glassy Lip Lacquer 403 Prime 4.5 g
L-PTGL4-MO,Make Over Glassy Lip Lacquer 404 A-List 4.5 g
L-PTGL5-MO,Make Over Glassy Lip Lacquer 405 Glory 4.5 g
L-PTMC01-MO,MAKE OVER Powerstay Transferproof Matte Lip Cream B01 No. 1 7 g
L-PTMC02-MO,MAKE OVER Powerstay Transferproof Matte Lip Cream B02 Lucky 7 g
L-PTMC03-MO,MAKE OVER Powerstay Transferproof Matte Lip Cream B03 Hype 7 g
L-PTMC04-MO,MAKE OVER Powerstay Transferproof Matte Lip Cream B04 Fearless 7 g
L-PTMC05-MO,MAKE OVER Powerstay Transferproof Matte Lip Cream B05 Fired Up 7 g
L-PTMC06-MO,MAKE OVER Powerstay Transferproof Matte Lip Cream B06 Powerful 7 g
L-PTMC07-MO,MAKE OVER Powerstay Transferproof Matte Lip Cream B07 Amplify 7 g
L-PTMC08-MO,MAKE OVER Powerstay Transferproof Matte Lip Cream B08 Curious 7 g
L-PTMCA-MO,MAKE OVER Powerstay Transferproof Matte Lip Cream B09 Popular 7 g
L-PTMCAB-MO,MAKE OVER Powerstay Transferproof Matte Lip Cream B101 Pleasure 7 g
L-PTMCB-MO,MAKE OVER Powerstay Transferproof Matte Lip Cream B10 M.O. 7 g
L-PTMCBB-MO,MAKE OVER Powerstay Transferproof Matte Lip Cream B102 Vibe 7 g
L-PTMCC-MO,MAKE OVER Powerstay Transferproof Matte Lip Cream B11 New Rules 7 g
L-PTMCCB-MO,MAKE OVER Powerstay Transferproof Matte Lip Cream B201 Triumph 7 g
L-PTMCD-MO,MAKE OVER Powerstay Transferproof Matte Lip Cream B12 Feisty 7 g
L-PTMCDB-MO,MAKE OVER Powerstay Transferproof Matte Lip Cream B202 Skye-Hi 7 g
L-PVW01-MO,MAKE OVER Powerstay Vivid Waterlite Lip Stain A01 Bumble 5.5 g
L-PVW02-MO,MAKE OVER Powerstay Vivid Waterlite Lip Stain A02 Double Dare 5.5 g
L-PVW03-MO,MAKE OVER Powerstay Vivid Waterlite Lip Stain A03 Kiss Bang 5.5 g
L-PVW04-MO,MAKE OVER Powerstay Vivid Waterlite Lip Stain A04 Corvette 5.5 g
L-PVW05-MO,MAKE OVER Powerstay Vivid Waterlite Lip Stain A05 Hot Miss 5.5 g
L-PVW06-MO,MAKE OVER Powerstay Vivid Waterlite Lip Stain A06 Passion 5.5 g
L-PVW07-MO,MAKE OVER Powerstay Vivid Waterlite Lip Stain A07 XOXO 5.5 g
L-PVW08-MO,MAKE OVER Powerstay Vivid Waterlite Lip Stain A08 Plush 5.5 g
L-R2EMC01-W,Wardah Exclusive Matte Lip Cream Tukar Guling Shade 01 4 g
L-R2EMC03-W,Wardah Exclusive Matte Lip Cream Tukar Guling Shade 03 4 g
L-R2EMC05-W,Wardah Exclusive Matte Lip Cream Tukar Guling Shade 05 4 g
L-R2EMC06-W,Wardah Exclusive Matte Lip Cream Tukar Guling Shade 06 4 g
L-R2EMC07-W,Wardah Exclusive Matte Lip Cream Tukar Guling Shade 07 4 g
L-R2EMC08-W,Wardah Exclusive Matte Lip Cream Tukar Guling Shade 08 4 g
L-R2EMC09-W,Wardah Exclusive Matte Lip Cream Tukar Guling Shade 09 4 g
L-R2EMC11-W,Wardah Exclusive Matte Lip Cream Tukar Guling Shade 11 4 g
L-R2EMC12-W,Wardah Exclusive Matte Lip Cream Tukar Guling Shade 12 4 g
L-R2EMC13-W,Wardah Exclusive Matte Lip Cream Tukar Guling Shade 13 4 g
L-R2EMC16-W,Wardah Exclusive Matte Lip Cream Tukar Guling Shade 16 4 g
L-R2EMC17-W,Wardah Exclusive Matte Lip Cream Tukar Guling Shade 17 4 g
L-RCLCLS1-W,Wardah Colorfit Fresh Lip Ink Serum 01 Energy Shot 4 g
L-RCLCLS2-W,Wardah Colorfit Fresh Lip Ink Serum 02 Smart Cookie 4 g
L-RCLCLS3-W,Wardah Colorfit Fresh Lip Ink Serum 03 High Rise 4 g
L-RCLCLS4-W,Wardah Colorfit Fresh Lip Ink Serum 04 Speedster 4 g
L-RCLCLS5-W,Wardah Colorfit Fresh Lip Ink Serum 05 Soul Mover 4 g
L-RCLCLS6-W,Wardah Colorfit Fresh Lip Ink Serum 06 Hyped Up 4 g
L-RCLCLS7-W,Wardah Colorfit Fresh Lip Ink Serum 07 Busy Bee 4 g
L-RCLCLS8-W,Wardah Colorfit Fresh Lip Ink Serum 08 Go Getter 4 g
L-REMA01-W,Wardah Exclusive Matte Lipstick 01 Pink 3.5 g
L-REMA02-W,Wardah Exclusive Matte Lipstick 02 Magenta 3.5 g
L-REMA03-W,Wardah Exclusive Matte Lipstick 03 Red 3.5 g
L-REMA04-W,Wardah Exclusive Matte Lipstick 04 Orange 3.5 g
L-REMA05-W,Wardah Exclusive Matte Lipstick 05 Peach 3.5 g
L-REMA06-W,Wardah Exclusive Matte Lipstick 06 Dark Red 3.5 g
L-REMA09-W,Wardah Exclusive Matte Lipstick 09 True Red 3.5 g 
L-REMA12-W,Wardah Exclusive Matte Lipstick 12 Maroon 3.5 g
L-REMA13-W,Wardah Exclusive Matte Lipstick 13 Cocoa Look 3.5 g
L-REMA16-W,Wardah Exclusive Matte Lipstick 16 Summer Pink 3.5 g
L-REMA17-W,Wardah Exclusive Matte Lipstick 17 Gorgeous Pink 3.5 g
L-REMA18-W,Wardah Exclusive Matte Lipstick 18 Rosy Pink 3.5 g
L-REMO20-W,Wardah Exclusive Moist Lipstick 20 Pink Pearl 3.5 g
L-REMO21-W,Wardah Exclusive Moist Lipstick 21 Orchid Pink 3.5 g
L-REMO23-W,Wardah Exclusive Moist Lipstick 23 Ruby Red 3.5 g
L-REMO26-W,Wardah Exclusive Moist Lipstick 26 Mango 3.5 g
L-REMO29-W,Wardah Exclusive Moist Lipstick 29 Lavender 3.5 g
L-REMO30-W,Wardah Exclusive Moist Lipstick 30 Golden Coral 3.5 g
L-REMO32-W,Wardah Exclusive Moist Lipstick 32 Sheer Brown 3.5 g
L-REMO35-W,Wardah Exclusive Moist Lipstick 35 Great Berry 3.5 g
L-REMO36-W,Wardah Exclusive Moist Lipstick 36 Sugary Pink 3.5 g
L-REMO41-W,Wardah Exclusive Moist Lipstick 41 Charming Red 3.5 g
L-REMO43-W,Wardah Exclusive Moist Lipstick 43 Magnificent Red 3.5 g
L-REMO46-W,Wardah Exclusive Moist Lipstick 46 Chic Magenta 3.5 g
L-RIPEI01-W,Instaperfect Everlast Intense Matte Liquid 01 EXCEPTIONAL 4.2 g
L-RIPEI02-W,Instaperfect Everlast Intense Matte Liquid 02 TIMELESS 4.2 g
L-RIPEI03-W,Instaperfect Everlast Intense Matte Liquid 03 SURREAL 4.2 g
L-RIPEI04-W,Instaperfect Everlast Intense Matte Liquid 04 GRANDE 4.2 g
L-RIPEI05-W,Instaperfect Everlast Intense Matte Liquid 05 SPLENDID 4.2 g
L-RIPEI06-W,Instaperfect Everlast Intense Matte Liquid 06 AUTHENTIC 4.2 g
L-RIPEI07-W,Instaperfect Everlast Intense Matte Liquid 07 EFFORTLESS 4.2 g
L-RIPEI08-W,Instaperfect Everlast Intense Matte Liquid 08 DASHING 4.2 g
L-RRIPLMP01-W,Instaperfect MATTESETTER Lip Matte Paint 01. GLEE 5.5 g
L-RRIPLMP02-W,Instaperfect MATTESETTER Lip Matte Paint 02. DEAR 5.5 g
L-RRIPLMP03-W,Instaperfect MATTESETTER Lip Matte Paint 03. CHIC 5.5 g
L-RRIPLMP04-W,Instaperfect MATTESETTER Lip Matte Paint 04. VIBE 5.5 g
L-RRIPLMP05-W,Instaperfect MATTESETTER Lip Matte Paint 05. HYPE 5.5 g
L-RRIPLMP06-W,Instaperfect MATTESETTER Lip Matte Paint 06. FLAIR 5.5 g
L-RRIPLMP07-W,Instaperfect MATTESETTER Lip Matte Paint 07. DAZZLE 5.5 g
L-RRIPLMP08-W,Instaperfect MATTESETTER Lip Matte Paint 08. EDGE 5.5 g
L-RRIPLMP09-W,Instaperfect MATTESETTER Lip Matte Paint 09. ICON 5.5 g
L-SLWCA-W,Wardah Colorfit Last All Day Lip Paint 12 Berry Lasting 4.2 g
L-SLWCB-W,Wardah Colorfit Last All Day Lip Paint 11 Everlast Pink 4.2 g
L-SLWCC-W,Wardah Colorfit Last All Day Lip Paint 10 Forever Mauve 4.2 g
L-SLWCD-W,Wardah Colorfit Last All Day Lip Paint 03 Stick To Latte 4.2 g
L-SLWCE-W,Wardah Colorfit Last All Day Lip Paint 08 Red Repeat 4.2 g
L-SLWCF-W,Wardah Colorfit Last All Day Lip Paint 07 Brick On 4.2 g
L-SLWCG-W,Wardah Colorfit Last All Day Lip Paint 01 Peach Till Drop 4.2 g
L-SLWCH-W,Wardah Colorfit Last All Day Lip Paint 04 Brownderlast 4.2 g
L-SLWCI-W,Wardah Colorfit Last All Day Lip Paint 09 Timeless Rose 4.2 g
L-SLWCJ-W,Wardah Colorfit Last All Day Lip Paint 06 Infinite Coral 4.2 g
L-SLWCK-W,Wardah Colorfit Last All Day Lip Paint 02 Eternal Sunset 4.2 g
L-SLWCL-W,Wardah Colorfit Last All Day Lip Paint 05 Stay Russet 4.2 g
L-SMULGA-EM,Emina Squeeze Me Up Lip Glass 01 Surf n’ Slide 6.5 g
L-SMULGB-EM,Emina Squeeze Me Up Lip Glass 02 Stargaze 6.5 g
L-SMULMA-EM,Emina Squeeze Me Up Lip Matte 01 Have a Picnic 6.5 g
L-SMULMB-EM,Emina Squeeze Me Up Lip Matte 02 Bake a Cookie 6.5 g
L-SMULMC-EM,Emina Squeeze Me Up Lip Matte 03 City Cycling 6.5 g
L-SMULMD-EM,Emina Squeeze Me Up Lip Matte 04 Lil Dancing 6.5 g
L-TLT-OMG,OMG Oh My Glam Juicy Kiss Lip Tint Serum TESTER SET (5.3 g x 4)
L-TMLC2-OMG,OMG OH MY GLAM Tester Matte Kiss Lip Cream 01-15 52.5 g
LB-EVFSG-W4G,Wardah Everyday Fruity Sheer Lip Balm Grape 4 g
LB-EVFSS-W4G,Wardah Everyday Fruity Sheer Lip Balm Strawberry 4 g
LB-EVLNGT-W4G,Wardah Everyday Moisture Lip Nutrition Green Tea 4 g
LB-EVLNH-W4G,Wardah Everyday Moisture Lip Nutrition Honey 4 g
LB-LMMC-EM,Emina Lip Mask Milky Matcha 9 g
LB-LMOR-EM,Emina Lip Mask Orange Squash 9 g
LB-LMPB-EM,Emina Lip Mask + Blister
LB-LMPR-EM,Emina Lip Mask Vanilla Pretzel 9 g
"LB-M-MO3,8G","MAKE OVER Lipbalm Lip Nutrition Melon Crazy 3,8 g (Pc(s))"
"LB-OC-MO3,8G","MAKE OVER Lipbalm Lip Nutrition Orange Crush 3,8 g (Pc(s))"
LB-SCJ-EM3.7GR,Emina Smoochies Lip Balm Cucumber Juice 3.7 gr (Pc(s))
LB-SLN-EM3.7GR,Emina Smoochies Lip Balm Lemonade 3.7 gr (Pc(s))
LB-SR-EM4.2GR,Emina Sugar Rush Lip Scrub 4.2 gr (Pc(s))
LB-STSPB-EM,Emina Oh So Kissable Tinted Balm Stick Pink Bonbons 3.4 g
LB-STSPC-EM,Emina Oh So Kissable Tinted Balm Stick Plum Candy 3.4 g
"LB-V-MO3,8G","MAKE OVER Lipbalm Lip Nutrition Vanilla Latte 3,8 g (Pc(s))"
LD-CDFB01-B,Beyondly Fitclair Collagen Drink 15 sachet @25mL
LT-CR01-EM,Emina Creamytint 01 Brick Town 3.6 g
LT-CR02-EM,Emina Creamytint 02 Peach Crush 3.6 g
LT-CR03-EM,Emina Creamytint 03 Sunbeam 3.6 g
LT-CR04-EM,Emina Creamytint 04 Wild Berry 3.6 g
LT-CR05-EM,Emina Creamytint 05 Cherry Soda 3.6 g
LT-MP04-EM,Emina Magic Potion 04 Sienna 5.5 ml
LT-MP05-EM,Emina Magic Potion 05 Summer 5.5 ml
LT-MP06-EM,Emina Magic Potion 06 Sassy 5.5 ml
LT-MPSG-EM5.5ML,Emina Magic Potion 02 Sunglow 5.5 ml
LT-MPSM-EM5.5ML,Emina Magic Potion 03 Smitten 5.5 ml
LT-MPSR-EM5.5ML,Emina Magic Potion 01 Scarlet 5.5 ml
LU-P1-P720,Putri Pustreite Step 1 720 ML (Pc(s))
LU-P1P3P-P720,Putri Platinum Pustreite Step 1 720 ML (Pc(s))
LW-P1-P150,Putri Olive Body Scrub 150 ML (Pc(s))
LW-P1-P720,Putri Olive Body Scrub 720 ML (Pc(s))
LW-W3O-W150ML,Wardah Soft Body Scrub With Olive 150 ml (Pc(s))
LW-W3O-W240ML,Wardah Soft Body Scrub With Olive 240 ml (Pc(s))
LW-W3P-W150ML,Wardah Soft Body Scrub With Passion Fruit 150 ml (Pc(s))
LW-W3S-W150ML,Wardah Soft Body Scrub With Strawberry 150 ml (Pc(s))
M-AHC-W40ML,Wardah Nature Daily Aloe Hydramild Moisturizer Cream 40 ml
M-AN1-EM,Emina Natura Pal Gel Moisturizer 20 ml
M-BRER-L,LABORÉ Sensitive Skin Care BiomeRepair Extreme Recovery Cream 100 ml
M-BRERMC-L,LABORÉ Sensitive Skin Care BiomeRepair Barrier Revive Cream 50 ml
M-BRERMCN2-L,LABORÉ Sensitive Skin Care BiomeRepair Barrier Revive Cream 10 ml
M-BSACNE-EM,Emina Bright Stuff for Acne Prone Skin Moisturizing Cream 20 ml
M-BSC-EM,Emina Bright Stuff Moisturizing Cream 20 ml
M-BSNC-EM,Emina Bright Stuff Night Cream 20 g
M-BSTUC-EM,Emina Bright Stuff Tone Up Cream 20 ml
M-CDMM-W,Wardah C-Defense Mousse Moisturizer 30 g
M-CSAHG-W,Wardah Crystallure Supreme Advanced Hydra Gel 50 g
M-CSAOC-W,Wardah Crystallure Supreme Activating Overnight Cream 50 g
M-CSGD01-B,Beyondly Glowlasting Collagen UV Care Moisturizer 30 g
M-CSRRC-W,Wardah Crystallure Supreme Revitalizing Rich Cream 50 g
M-GSSNG-L,LABORÉ Sensitive Skin Care GentleBiome Skin Nutrition Gel 50 ml
M-IAB-EM50ML,Emina Moist in A Bottle 50 ml (Pc(s))
M-LDCN1-W,Wardah Lightening Day Cream Advanced Niacinamide 20 mL
M-LDCN2-W,Wardah Lightening Day Cream Advanced Niacinamide 30 g
M-LDGN1-W,Wardah Lightening Day Gel 30 g
M-LDGN2-W,Wardah Lightening Day Gel 20 ml
M-LNCN1-W,Wardah Lightening Night Cream Advanced Niacinamide 20 mL
M-LNCN2-W,Wardah Lightening Night Cream Advanced Niacinamide 30 g
M-MN1-OMG,OMG Oh My Glow Peach Glowing Moisturizer 7.5 gr
M-MN2-OMG,OMG Oh My Glow Peach Glowing Moisturizer 25 gr
M-MPNG-EM,Emina Ms. Pimple Acne Solution Calming Gel 20 ml
M-NFSBRERMC-L,LABORÉ Sensitive Skin Care NFS BiomeRepair Barrier Revive Cream 10 ml
M-P1PD-P200,Putri Platinum Deep Moisturizer Spray 200 ML (Pc(s))
M-PBNC20-W,Wardah Perfect Bright Bright + Night Glow Night Moisturizer 20 ml
M-PHAG-EM20ML,Emina Ms. Pimple Acne Solution Moisturizing Gel 20 ml
M-PSLG-MO,MAKE OVER Powerskin Liquid Glow Moisturizer 45 ml
M-PSRT-MO,MAKE OVER Powerskin Radiant Tinted Moisturizer 10 Light 40 ml
M-PSRT20-MO,MAKE OVER Powerskin Radiant Tinted Moisturizer 20 Light Beige 40 ml
M-PSRT30-MO,MAKE OVER Powerskin Radiant Tinted Moisturizer 30 Beige 40 ml
M-PSRT40-MO,MAKE OVER Powerskin Radiant Tinted Moisturizer 40 Medium Beige 40 ml
M-PSWC-MO,MAKE OVER Powerskin Water Charge Moisturizer 42 ml
M-RHDGN1-W,Wardah Hydra Rose Dewy Aqua Day Gel 40 g
M-RHDGN2-W,Wardah Hydra Rose Dewy Aqua Day Gel 17 ml
M-RHOVN1-W,Wardah Hydra Rose Moisture Rich Night Gel 40 g
M-RHOVN2-W,Wardah Hydra Rose Moisture Rich Night Gel 17 ml
M-RPBNS20-W,Wardah Perfect Bright Moisturizer Bright + Smooth Glow SPF 30 PA+++ 20 ml
M-RPBSPF30-W,Wardah Perfect Bright Moisturizer Bright + Oil Control SPF 30 PA+++ 20 ml
M-RRYDCN1-W,Wardah Renew You Day Cream 15 g (Pc(s))
M-RRYDCN2-W,Wardah Renew You Day Cream 30 g (Pc(s))
M-RRYDCN3-W,Wardah Renew You Day Cream 9 g (Pc(s))
M-RRYNCN1-W,Wardah Renew You Night Cream 15 g (Pc(s))
M-RRYNCN2-W,Wardah Renew You Night Cream 30 g (Pc(s))
M-RWSDCN1-W,Wardah Crystal Secret Brightening Day Cream 15 ml
M-RWSDCN2-W,Wardah Crystal Secret Brightening Day Cream 30 g
M-RWSDCN3-W,Wardah Crystal Secret Brightening Day Cream 9 ml
M-RWSNCN1-W,Wardah Crystal Secret Bright Activating Night Cream 15 ml
M-RWSNCN2-W,Wardah Crystal Secret Bright Activating Night Cream 30 g
M-SM01-KA,Kahf Triple Protection Sunscreen Moisturizer 30 ml
M-SSSC01-B,Beyondly Collagen Serum Sunscreen SPF50 PA++++
M-WHPG-W40ML,Wardah Nature Daily Witch Hazel Purifying Moisturizer Gel 40 ml
M-WSDGN1-W,Wardah Crystal Secret Refreshing Day Gel 15 ml
M-WSDGN2-W,Wardah Crystal Secret Refreshing Day Gel 30 g
MA-BSE-EM,Emina Bright Stuff Essence Sheet Mask 23 g
MA-LESM-W,Wardah Lightening Essence Sheet Mask 20 ml
MA-MSCD-W,Wardah C-Defense SuperSerum Mask 20 ml
MA-MSL-W,Wardah Lightening SuperSerum Mask 20 ml
MA-MSND-W,Wardah Nature Daily SuperSerum Mask 20 ml
MA-MTRWS-W,Wardah Crystal Secret Radiance Serum Mask 20 ml
MA-NDSVC-W,Wardah Nature Daily Sheet Mask Vitamin C 20 ml
MASK-CLV-EM,Emina Cosmic Lash Volume Mascara 6 g
MASK-EEAL-W6GR,Wardah EyeXpert Aqua Lash Mascara 6 gr (Pc(s))
MASK-EEPC-W7GR,Wardah EyeXpert Perfectcurl Mascara 7 gr (Pc(s))
MASK-EEVE-W7GR,Wardah EyeXpert The Volume Expert Mascara 7 gr (Pc(s))
MASK-EL-MO,Make Over Lash Impulse Waterproof Mascara 8 g
MASK-EXPMM-W,Wardah EYEXPERT Liftlast Waterproof Mascara 8 ml
MASK-OMG-OMG,OMG Oh My Glam SuperFiller Waterproof Mascara 6.5 g
MASK-SLA-EM5GR,Emina Star Lash Aqua Mascara 5 gr (Pc(s))
MASK-SMU-EM,Emina Squeeze Me Up Mascara 8 g
MB-COTR01-B,Beyondly Carrier Oil Terra 100 ml
MB-MBSG01-B,Beyondly Minyak Balur Sagala 100 ml
MK-P1-P100,Putri Natural Candlenut Oil 100 ML (Pc(s))
MSS-P1C-P1,Putri Massage Cream 1 KG (Pc(s))
MUR-DIS-EM50ML,Emina Dirt-less In Sight Make Up Remover 50 ml (Pc(s))
MY-BBSLP-EM,Malaysia Emina Bright Stuff Loose Powder 55 g
MY-BCLCLPA-W,Malaysia Wardah Colorfit Mattifying Powder 22N Light Ivory 15 g
MY-BCLCLPB-W,Malaysia Wardah Colorfit Mattifying Powder 23W Warm Ivory 15 g
MY-BCLCLPC-W,Malaysia Wardah Colorfit Mattifying Powder 32N Neutral Beige 15 g
MY-BCLCLPD-W,Malaysia Wardah Colorfit Mattifying Powder 43W Golden Sand 15 g
MY-BDMCP01-EM,Malaysia Emina Daily Matte Compact Powder 01 Light 11 g
MY-BDMCP02-EM,Malaysia Emina Daily Matte Compact Powder 02 Natural 11 g
MY-BDMCP03-EM,Malaysia Emina Daily Matte Compact Powder 03 Caramel 11 g
MY-BDMCP04-EM,Malaysia Emina Daily Matte Compact Powder 04 Mocca 11 g
MY-BHRFP-MO,Malaysia MAKE OVER Hydrastay Radiant Finishing Powder 8 g
MY-BIPQSP11-W,Malaysia Instaperfect QUICKMATTE Loose Powder 11 Fair Pink 9 g
MY-BIPQSP12-W,Malaysia Instaperfect QUICKMATTE Loose Powder 22 Light Ivory 9 g
MY-BIPQSP13-W,Malaysia Instaperfect QUICKMATTE Loose Powder 32 True Beige 9 g
MY-BIPQSP14-W,Malaysia Instaperfect QUICKMATTE Loose Powder 33 Warm Olive 9 g
MY-BIPQSP15-W,Malaysia Instaperfect QUICKMATTE Loose Powder 43 Creme Sand 9 g
MY-BIPQSP16-W,Malaysia Instaperfect QUICKMATTE Loose Powder 52 Almond 9 g
MY-BOCLCNB-EM,Malaysia Emina Cheek Lit Cream Blush Nudie Brown 10 ml
MY-BOCLCPE-EM,Malaysia Emina Cheek Lit Cream Blush Peach 10 ml (Pc(s))
MY-BOCLCPI-EM,Malaysia Emina Cheek Lit Cream Blush Pink 10 ml (Pc(s))
MY-BOCLCVI-EM,Malaysia Emina Cheek Lit Cream Blush Violet 10 ml
MY-BOCLPCS-EM,Malaysia Emina Cheek Lit Pressed Blush Sugarcane 3.5 gr (Pc(s))
MY-BOCLPML-EM,Malaysia Emina Cheek Lit Pressed Blush Marshmallow Lady 3.5 gr (Pc(s))
MY-BOCLPPB-EM,Malaysia Emina Cheek Lit Pressed Blush Bittersweet 3.5 gr (Pc(s))
MY-BOCLPPCCC-EM,Malaysia Emina Cheek Lit Pressed Blush Cotton Candy 3.5 gr (Pc(s))
MY-BOCLPPMCB-EM,Malaysia Emina Cheek Lit Pressed Blush Cherry Blossoms 3.5 gr (Pc(s))
MY-BOCLPPTVB-EM,Malaysia Emina Cheek Lit Pressed Blush Violet Berry 3.5 gr (Pc(s))
MY-BOCOCBMM-W,Malaysia Wardah Colorfit Cream Blush 02 MERRY MAUVE 3 g
MY-BOCOCBSC-W,Malaysia Wardah Colorfit Cream Blush 01 SAND CORAL 3 g
MY-BOCOCBSP-W,Malaysia Wardah Colorfit Cream Blush 03 SUMMER PEACH 3 g
MY-BOHLT01-MO,Malaysia MAKE OVER Hydrastay Liquid Tint Blush 01 Flair 15 ml
MY-BOHLT02-MO,Malaysia MAKE OVER Hydrastay Liquid Tint Blush 02 Gala 15 ml
MY-BOHLT03-MO,Malaysia MAKE OVER Hydrastay Liquid Tint Blush 03 Solace 15 ml
MY-BOHLT04-MO,Malaysia MAKE OVER Hydrastay Liquid Tint Blush 04 Dolce 15 ml
MY-BOHLT05-MO,Malaysia MAKE OVER Hydrastay Liquid Tint Blush 05 Sun-Baked 15 ml
MY-BOSKCS06-MO,Malaysia MAKE OVER BO Single 06 Caribbean Sunset 6 g (Pc(s))
MY-BOSKPP10-MO,Malaysia MAKE OVER BO Single 10 Passion Pink 6 g (Pc(s))
MY-BOSKPS03-MO,Malaysia MAKE OVER BO Single 03 Promiscious Peach 6g (Pc(s))
MY-BPBBB-W,Malaysia Wardah Perfect Bright BB Powder 50 g
MY-BPHREDT-KA,Malaysia Kahf Humbling Forest Eau de Toilette 35 ml
MY-BPIWEDT-KA,Malaysia Kahf Invigorating Waterfall Eau de Toilette 35 ml
MY-BPMT-MO,Malaysia MAKE OVER Powerstay Mattifying Transparent Powder 11 g
MY-BPRHEDT-KA,Malaysia Kahf Revered Oud Eau de Toilette 35 ml
MY-BPT01-MO,Malaysia MAKE OVER Silky Smooth Translucent Powder 01 Porcelain 35 g (Pc(s))
MY-BPT02-MO,Malaysia MAKE OVER Silky Smooth Translucent Powder 02 Rosy 35 g (Pc(s))
MY-BPT03-MO,Malaysia MAKE OVER Silky Smooth Translucent Powder 03 Champagne 35 g (Pc(s)
MY-BPT04-MO,Malaysia MAKE OVER Silky Smooth Translucent Powder 04 Toffee 35 g (Pc(s))
MY-BPT05-MO,Malaysia MAKE OVER Silky Smooth Translucent Powder 05 Snow 35 g (Pc(s))
MY-BPT06-MO,Malaysia MAKE OVER Silky Smooth Translucent Powder 06 Buttermilk 35 g
MY-BPT07-MO,Malaysia MAKE OVER Silky Smooth Translucent Powder 07 Vanilla 35 g
MY-BPWSEDT-KA,Malaysia Kahf True Brotherhood Eau de Toilette 35 ml
MY-BRBMLP01-EM,Malaysia Emina Bare With Me Mineral Loose Powder 01 Fair 8 g
MY-BRBMLP02-EM,Malaysia Emina Bare With Me Mineral Loose Powder 02 Light Beige 8 g
MY-BRBMLP03-EM,Malaysia Emina Bare With Me Mineral Loose Powder 03 Amber 8 g
MY-BRBMLP04-EM,Malaysia Emina Bare With Me Mineral Loose Powder 04 Ebony 8 g
MY-BRORNBO-KA,Malaysia Kahf Nourishing Beard & Hair Oil 30 ml
MY-BRUSEBS-EM,Malaysia Emina Brush Set (Set)
MY-BSFLP-EM,Malaysia Emina Sebum Fighter Loose Powder 8 g
MY-CONIP01-W,Malaysia Wardah Instaperfect Concealer 01 5 ml
MY-CONIP02-W,Malaysia Wardah Instaperfect Concealer 02 5 ml
MY-CONIP03-W,Malaysia Wardah Instaperfect Concealer 03 5 ml
MY-CONIP04-W,Malaysia Wardah Instaperfect Concealer 04 5 ml
MY-CONIP05-W,Malaysia Wardah Instaperfect Concealer 05 5 ml
MY-CONIP06-W,Malaysia Wardah Instaperfect Concealer 06 5 ml
MY-CONLBBL01-W,Malaysia Wardah Lightening Liquid Concealer 01 Light 7 g (Blister)
MY-CONLBBL02-W,Malaysia Wardah Lightening Liquid Concealer 02 Beige 7 g (Blister)
MY-CONPTCL01-MO,Malaysia MAKE OVER Powerstay Total Cover Liquid Concealer 01 Light 6.5 ml
MY-CONPTCL02-MO,Malaysia MAKE OVER Powerstay Total Cover Liquid Concealer 02 Light to Medium 6.5 ml
MY-CONPTCL03-MO,Malaysia MAKE OVER Powerstay Total Cover Liquid Concealer 03 Medium 6.5 ml
MY-CONSMULCA-EM,Malaysia Emina Squeeze Me Up Liquid Concealer Light 8 g
MY-CONSMULCB-EM,Malaysia Emina Squeeze Me Up Liquid Concealer Natural 8 g
MY-CONSMULCC-EM,Malaysia Emina Squeeze Me Up Liquid Concealer Caramel 8 g
MY-CUS-IPB-W,Malaysia Instaperfect Skincover Air Cushion 22 Light Ivory 11 g
MY-CUS-IPD-W,Malaysia Instaperfect Skincover Air Cushion 33 Warm Olive 11 g
MY-CUSCLCA-W,Malaysia Wardah Colorfit Perfect Glow Cushion 11C Pink Fair
MY-CUSCLCB-W,Malaysia Wardah Colorfit Perfect Glow Cushion 22N Light Ivory
MY-CUSCLCC-W,Malaysia Wardah Colorfit Perfect Glow Cushion 23W Warm Ivory
MY-CUSCLCD-W,Malaysia Wardah Colorfit Perfect Glow Cushion 32N Neutral Beige
MY-CUSCLCE-W,Malaysia Wardah Colorfit Perfect Glow Cushion 33W Olive Beige
MY-CUSCLCF-W,Malaysia Wardah Colorfit Perfect Glow Cushion 43W Golden Sand
MY-CUSCLCG-W,Malaysia Wardah Colorfit Perfect Glow Cushion 42N Neutral Sand
MY-CUSCLCH-W,Malaysia Wardah Colorfit Perfect Glow Cushion 52N Almond
MY-CUSHLGCC31-MO,Malaysia MAKE OVER Hydrastay Lite Glow Cushion C31 Pink Beige 15 g
MY-CUSHLGCC41-MO,Malaysia MAKE OVER Hydrastay Lite Glow Cushion C41 Cool Sand 15 g
MY-CUSHLGCC51-MO,Malaysia MAKE OVER Hydrastay Lite Glow Cushion C51 Cool Tan 15 g
MY-CUSHLGCC62-MO,Malaysia MAKE OVER Hydrastay Lite Glow Cushion C62 Rich Cocoa 15 g
MY-CUSHLGCN20-MO,Malaysia MAKE OVER Hydrastay Lite Glow Cushion N20 Ivory 15 g
MY-CUSHLGCN40-MO,Malaysia MAKE OVER Hydrastay Lite Glow Cushion N40 Sand 15 g
