SKU code;Supplier code;Percentage;Supplier lead time;QC lead time;MOQ;Lot size;Supplier description;No;Material start date;Material end date
STIC-VCPSPF14R1-W;2200055;1;2;2;5000;100;MITRA ABADI PRINTING;6901;202203;
STIC-VCVML10R0-W;2303747;1;4;2;25000;100;SATYAMITRA LABELJAYA P., PT;6902;202208;
STIC-VCVML11R0-W;2303747;1;4;2;25000;100;SATYAMITRA LABELJAYA P., PT;6903;202208;
STIC-VCVML14R0-W;2303747;1;4;2;25000;100;SATYAMITRA LABELJAYA P., PT;6904;202208;
STIC-VCVMLM10R1-W;2303747;1;4;2;10000;100;SATYAMITRA LABELJAYA P., PT;6905;202208;
STIC-VCVMLM11R1-W;2303747;1;4;2;10000;100;SATYAMITRA LABELJAYA P., PT;6906;202208;
STIC-VCVMLM12R1-W;2303747;1;4;2;10000;100;SATYAMITRA LABELJAYA P., PT;6907;202208;
STIC-VCVMLM13R1-W;2303747;1;4;2;10000;100;SATYAMITRA LABELJAYA P., PT;6908;202208;
STIC-VCVMLM14R1-W;2303747;1;4;2;10000;100;SATYAMITRA LABELJAYA P., PT;6909;202208;
STIC-VCVMLM1R1-W;2303747;1;4;2;10000;100;SATYAMITRA LABELJAYA P., PT;6910;202208;
STIC-VCVMLM1R2-W;2303747;1;4;2;10000;100;SATYAMITRA LABELJAYA P., PT;6911;202208;
STIC-VCVMLM2R1-W;2303747;1;4;2;10000;100;SATYAMITRA LABELJAYA P., PT;6912;202208;
STIC-VCVMLM2R2-W;2303747;1;4;2;10000;100;SATYAMITRA LABELJAYA P., PT;6913;202208;
STIC-VCVMLM3R1-W;2303747;1;4;2;10000;100;SATYAMITRA LABELJAYA P., PT;6914;202208;
STIC-VCVMLM3R2-W;2303747;1;4;2;10000;100;SATYAMITRA LABELJAYA P., PT;6915;202208;
STIC-VCVMLM4R1-W;2303747;1;4;2;10000;100;SATYAMITRA LABELJAYA P., PT;6916;202208;
STIC-VCVMLM4R2-W;2303747;1;4;2;10000;100;SATYAMITRA LABELJAYA P., PT;6917;202208;
STIC-VCVMLM5R1-W;2303747;1;4;2;10000;100;SATYAMITRA LABELJAYA P., PT;6918;202208;
STIC-VCVMLM5R2-W;2303747;1;4;2;10000;100;SATYAMITRA LABELJAYA P., PT;6919;202208;
STIC-VCVMLM6R1-W;2303747;1;4;2;10000;100;SATYAMITRA LABELJAYA P., PT;6920;202208;
STIC-VCVMLM6R2-W;2303747;1;4;2;10000;100;SATYAMITRA LABELJAYA P., PT;6921;202208;
STIC-VCVMLM7R1-W;2303747;1;4;2;10000;100;SATYAMITRA LABELJAYA P., PT;6922;202208;
STIC-VCVMLM7R2-W;2303747;1;4;2;10000;100;SATYAMITRA LABELJAYA P., PT;6923;202208;
STIC-VCVMLM8R1-W;2303747;1;4;2;10000;100;SATYAMITRA LABELJAYA P., PT;6924;202208;
STIC-VCVMLM8R2-W;2303747;1;4;2;10000;100;SATYAMITRA LABELJAYA P., PT;6925;202208;
STIC-VCVMLM9R1-W;2303747;1;4;2;10000;100;SATYAMITRA LABELJAYA P., PT;6926;202208;
STIC-VCVPF11CR0-W;2200055;1;2;2;5000;100;MITRA ABADI PRINTING;6927;202104;
STIC-VCVPF22NR0-W;2200055;1;2;2;5000;100;MITRA ABADI PRINTING;6928;202104;
STIC-VCVPF23WR0-W;2200055;1;2;2;5000;100;MITRA ABADI PRINTING;6929;202104;
STIC-VCVPF32NR0-W;2200055;1;2;2;5000;100;MITRA ABADI PRINTING;6930;202104;
STIC-VCVPF33WR0-W;2200055;1;2;2;5000;100;MITRA ABADI PRINTING;6931;202104;
STIC-VCVPF42NR0-W;2200055;1;2;2;5000;100;MITRA ABADI PRINTING;6932;202104;
STIC-VCVPF43WR0-W;2200055;1;2;2;5000;100;MITRA ABADI PRINTING;6933;202104;
STIC-VCVPF52NR0-W;2200055;1;2;2;5000;100;MITRA ABADI PRINTING;6934;202104;
STIC-VDCPFTLBR0-T;2200161;1;3;2;3000;100;EXPRESS GRAFIKA, PT;6935;202229;
STIC-VDCPFTMCR0-T;2200161;1;3;2;3000;100;EXPRESS GRAFIKA, PT;6936;202229;
STIC-VDCPFTSBR0-T;2200161;1;3;2;3000;100;EXPRESS GRAFIKA, PT;6937;202229;
STIC-VDCPFTSLR0-T;2200161;1;3;2;3000;100;EXPRESS GRAFIKA, PT;6938;202229;
STIC-VDCPFTSNR0-T;2200161;1;3;2;3000;100;EXPRESS GRAFIKA, PT;6939;202229;
STIC-VDCPFTWFR0-T;2200161;1;3;2;3000;100;EXPRESS GRAFIKA, PT;6940;202229;
STIC-VDMCC01R0-E;2200066;1;3;2;5000;100;PELITA ABADI JAYA, CV;6941;202232;
STIC-VDMCN02R0-E;2200066;1;3;2;5000;100;PELITA ABADI JAYA, CV;6942;202232;
STIC-VDMCP01R0-E;2200066;1;3;2;10000;100;PELITA ABADI JAYA, CV;6943;202204;
STIC-VDMCP02R0-E;2200066;1;3;2;10000;100;PELITA ABADI JAYA, CV;6944;202204;
STIC-VDMCP03R0-E;2200066;1;3;2;10000;100;PELITA ABADI JAYA, CV;6945;202204;
STIC-VDMCP04R0-E;2200066;1;3;2;10000;100;PELITA ABADI JAYA, CV;6946;202204;
STIC-VDMCW01R0-E;2200066;1;3;2;5000;100;PELITA ABADI JAYA, CV;6947;202232;
STIC-VDMCW02R0-E;2200066;1;3;2;5000;100;PELITA ABADI JAYA, CV;6948;202232;
