"Product/Internal Reference","Product/Product Name","Location","Lot/Serial Number","Inventoried Quantity","Reserved Quantity","Unit of Measure"
"VITA-B3PC-X","AAG3-AAF","JTK 6/Stock/RM/FA-08A2","GBMJTK6/JH31145","124972.34","0.0","g"
"MOIS-PTVT-X","MST1-ACI","JTK 6/Stock/RM/EA-04B2","GBMJTK6/JH30073","19.95378","0.0","kg"
"MOIS-PTVT-X","MST1-ACI","JTK 6/Stock/RM/EA-04B2","GBMJTK6/JH30072","24.94775","0.0","kg"
"MOIS-PTVT-X","MST1-ACI","JTK 6/Stock/RM/EA-04B2","GBMJTK6/JH30069","49.94775","0.0","kg"
"MOIS-PTVT-X","MST1-ACI","JTK 6/Stock/RM/EA-04B2","GBMJTK6/JH30070","109.95378","0.0","kg"
"PENG-PHC-X","PRV1-ABD","JTK 6/Stock/RM/GOR-E-18","GBMJTK6/JH30077","150000.0","0.0","g"
"PENG-PHC-X","PRV1-ABD","JTK 6/Stock/RM/GOR-E-18","GBMJTK6/JH30076","25000.0","0.0","g"
"AMI-GCK12H-X","SRF1-ABE","JTK 6/Stock/RM/GOR-B-03","GBMJTK6/JH24018","219943.98","0.0","g"
"AMI-GCK12H-X","SRF1-ABE","JTK 6/Stock/RM/GOR-B-03","GBMJTK6/JH24020","439945.68","0.0","g"
"AMI-GCK12H-X","SRF1-ABE","JTK 6/Stock/RM/GOR-B-03","GBMJTK6/JH24019","219944.2","0.0","g"
"POWD-GHHDI-X","PWD3-BAAAD","JTK 6/Stock/RM/GOR-A-03","GBMJTK6/JH30053","49.98455","0.0","kg"
"POWD-TGDS-X","PWD3-BAAAF","JTK 6/Stock/RM/GOR-A-03","GBMJTK6/JH30054","349.97797","0.0","kg"
"TITA-OTS2CR50-","PWD3-ABA","JTK 6/Stock/RM/AA-04A1","GBMJTK6/JH29125","139965.41","0.0","g"
"TITA-OTS2CR50-","PWD3-ABA","JTK 6/Stock/RM/AA-04A1","GBMJTK6/JH29123","119956.35","0.0","g"
"SERI-C-SI013S200-K","PWD3-ACI","JTK 6/Stock/RM/AA-03A1","GBMJTK6/JH30216","239978.04","15000.0","g"
"STEA-A-EST05M","RHM3-ABF","JTK 6/Stock/RM/GOR-D-25","GBMJTK6/JI01044","600000.0","0.0","g"
"STEA-A-EST05M","RHM3-ABF","JTK 6/Stock/RM/GOR-D-24","GBMJTK6/JI01044","600000.0","0.0","g"
"SOLV-BGKHN-X","SLV1-BHAFG","JTK 6/Stock/RM/GOR-F-28","GBMJTK6/JH30203","800.0","0.0","kg"
"SOLV-BGKHN-X","SLV1-BHAFG","JTK 6/Stock/RM/GOR-F-26","GBMJTK6/JH29126","799.94063","0.0","kg"
"BUTY--DAI1,3","MST1-AAB","JTK 6/Stock/RM/GOR-D-49","GBMJTK6/JH30057","800000.0","0.0","g"
"BUTY--DAI1,3","MST1-AAB","JTK 6/Stock/RM/GOR-D-49","GBMJTK6/JH18027","599934.09","0.0","g"
"RHM-DREAQA-X","RHM2-BBABD","JTK 6/Stock/RM/Release-RM","GBMJTK6/JH31078","599.94896","0.0","kg"
"EMU-EPSR-X","EMO1-ACF","JTK 6/Stock/RM/Release-RM","GBMJTK6/JH31008","14935.61","0.0","g"
"BUTT-EBUSA-SBUR","MST2-AAD","JTK 6/Stock/RM/Release-RM","GBMJTK6/JH31021","24954.76","0.0","g"
"MEDI-MDL-MGS","SRF1-AAE","JTK 6/Stock/RM/GOR-E-53","GBMJTK6/JH31067","799940.58","120062.59","g"
"OIL-BLWHMO-X","EMO1-AAC","JTK 6/Stock/RM/GOR-F-22","GBMJTK6/JH30089","353933.39","0.0","g"
"SOLV-MFLMOD-X","SLV1-BEABF","JTK 6/Stock/RM/GOR-F-22","GBMJTK6/JH30086","181.93211","0.0","kg"
"POWD-GHDS-X","PWD3-BAAAE","JTK 6/Stock/RM/GOR-F-08","GBMJTK6/JH30050","39.98539","0.0","kg"
"POWD-GH52-X","PWD3-AGC","JTK 6/Stock/RM/GOR-F-08","GBMJTK6/JH30042","19986.25","0.0","g"
"POWD-GHDS-X","PWD3-BAAAE","JTK 6/Stock/RM/GOR-F-08","GBMJTK6/JH30040","119.98334","0.0","kg"
"EMUL-WLALA99-X","EMS3-AJAAD","JTK 6/Stock/RM/GOR-F-06","GBMJTK6/JH26053","600.0","0.0","kg"
"EMUL-WLALA99-X","EMS3-AJAAD","JTK 6/Stock/RM/GOR-F-03","GBMJTK6/JH26053","499.9816","0.0","kg"
"SURF-CCAB-X","SRF1-ABI","JTK 6/Stock/RM/GOR-D-05","GBMJTK6/JH31174","800.0","0.0","kg"
"HALL-BHB-X","EMO1-ADB","JTK 6/Stock/RM/GOR-C-51","GBMJTK6/JH31009","759948.14","0.0","g"
"OIL-ORJVA-X","OBW1-AAE","JTK 6/Stock/RM/EA-01B1","GBMJTK6/JH31102","116925.28","0.0","g"
"WARN-CLRG-X","CLR3-RED-ADF","JTK 6/Stock/RM/GG-A-03","GBMJTK6/JH23141","19983.18","0.0","g"
"WARN-COGO--K","CLR3-YLW-AAD","JTK 6/Stock/RM/GG-A-03","GBMJTK6/JH23136","49989.58","0.0","g"
"WARN-CLRG-X","CLR3-RED-ADF","JTK 6/Stock/RM/GG-A-03","GBMJTK6/JH23140","19980.68","0.0","g"
"WARN-UTB990-X","CLR3-BLK-AAE","JTK 6/Stock/RM/GG-B1-09","GBMJTK6/JH29113","99892.2","0.0","g"
"COVA--","RHM3-AAG","JTK 6/Stock/RM/GG-B1-09","GBMJTK6/JH29114","29998.17","0.0","g"
"SOLV-BGKHN-X","SLV1-BHAFG","JTK 6/Stock/RM/GG-J1-07","GBMJTK6/JH30201","399.9618","0.0","kg"
"EMUL-EDNC129M-X","EMS3-AJAAE","JTK 6/Stock/RM/GG-J1-05","GBMJTK6/JH29052","599.9792","0.0","kg"
"SOLV-BGKHN-X","SLV1-BHAFG","JTK 6/Stock/RM/GG-J1-07","GBMJTK6/JH30202","199.9618","0.0","kg"
"SOLV-BGKHN-X","SLV1-BHAFG","JTK 6/Stock/RM/GG-J1-07","GBMJTK6/JH30203","199.9618","0.0","kg"
"SODA-C-ASA","NTA3-AAC","JTK 6/Stock/RM/Release-RM","GBMJTK6/JH31203","49958.23","0.0","g"
"WAX-CDL204--X","WAX3-ABH","JTK 6/Stock/RM/Release-RM","GBMJTK6/JH31153","24973.01","0.0","g"
"WAX-SBWX--X","WAX3-ABI","JTK 6/Stock/RM/Release-RM","GBMJTK6/JH31154","19977.71","0.0","g"
"SUNS-PR340-X","SCR1-AAI","JTK 6/Stock/RM/EA-04A2","GBMJTK6/JH31139","374919.28","0.0","g"
"VITA-DL E-MS","ASB1-AAB","JTK 6/Stock/RM/CA-08A2","GBMJTK6/JH31126","20000.0","0.0","g"
"SUNS-PTX-X","SCR3-AAG","JTK 6/Stock/RM/CA-08B2","GBMJTK6/JH31130","50000.0","0.0","g"
"PARS-1789-","SCR3-AAB","JTK 6/Stock/RM/DA-04A2","GBMJTK6/JH31134","400000.0","0.0","g"
"SUN-MP-X","PWD3-AFE","JTK 6/Stock/RM/DA-04B1","GBMJTK6/JH30113","20000.0","0.0","g"
"SUN-MP-X","PWD3-AFE","JTK 6/Stock/RM/DA-04B1","GBMJTK6/JH30094","20000.0","0.0","g"
"SUNS-HYAB-X","SCR3-ABC","JTK 6/Stock/RM/DA-08A2","GBMJTK6/JH30096","19.9888","0.0","kg"
"SUNS-HYAB-X","SCR3-ABC","JTK 6/Stock/RM/DA-08A2","GBMJTK6/JH30110","59.98948","0.0","kg"
"SUNS-HYAB-X","SCR3-ABC","JTK 6/Stock/RM/DA-08A2","GBMJTK6/JH30095","19.98702","0.0","kg"
"TIT-T85-X","PWD3-AGA","JTK 6/Stock/RM/FA-04B1","GBMJTK6/JH30112","79986.36","0.0","g"
"PARS-5000-DSM","SCR3-AAD","JTK 6/Stock/RM/FA-10A2","GBMJTK6/JH31131","199979.0","0.0","g"
"PARS-5000-DSM","SCR3-AAD","JTK 6/Stock/RM/FA-10A2","GBMJTK6/JH31132","49981.01","0.0","g"
"PARS-5000-DSM","SCR3-AAD","JTK 6/Stock/RM/FA-10A2","GBMJTK6/JH31133","250000.0","0.0","g"
"CARB-UT20-X","RHM3-AAC","JTK 6/Stock/RM/FA-08B1","GBMJTK6/JH30062","20000.0","0.0","g"
"CARB-UT20-X","RHM3-AAC","JTK 6/Stock/RM/FA-08B1","GBMJTK6/JH30084","40000.0","0.0","g"
"CARB-UT21P-X","RHM3-AAD","JTK 6/Stock/RM/FA-09B1","GBMJTK6/JH30063","20000.0","0.0","g"
