Process code;Routing type;Item code;Refill code;Bulk code;Bulk size;Bulk size_FM;Priority;Filling/Packing line code;Filling/Packing ALT.;Filling/Packing loss rate;Filling/Packing production rate;Filling/Packing production rate with change over;Efficiency of Filling/Packing;Filling code;Filling ALT.;Filling loss rate;Filling production rate;Filling production rate with change over;Efficiency of Filling;Pressing code;Pressing ALT.;Pressing loss rate;Pressing production rate;Pressing production rate with change over;Efficiency of Pressing;Labelling code;Labelling ALT.;Labelling loss rate;Labelling production rate;Labelling production rate with change over;Efficiency of labelling;Mixing code;Mixing ALT.;Mixing loss rate;Mixing production rate;Mixing production rate with change over;Efficiency of mixing;Milling code;Milling ALT.;Milling loss rate;Milling production rate;Milling production rate with change over;Efficiency of milling;Premix code;Premix ALT.;Premix loss rate;Premix production rate;Premix production rate with change over;Efficiency of premix;Weighing code;Weighing ALT.;Weighing loss rate;Weighing production rate;Weighing production rate with change over;Efficiency of weighing
SFGPack;SR12;BOTP-WIEIM11R0-W;;;1;1;NOMINAL_LINE;;;;;;;;;;;;;;;;;;;SDP01;1;0;120;120;1;;;;;;;;;;;;;;;;;;;;;;;;
SFGPack;SR12;BOTP-WIEIM12R0-W;;;1;1;NOMINAL_LINE;;;;;;;;;;;;;;;;;;;SDP01;1;0;120;120;1;;;;;;;;;;;;;;;;;;;;;;;;
MULTIPLEBULK;SR09;CON-C-MO11ML;;CON-C-B-BULK;10;50;SECONDARY_LINE;SAP01;1;0;240;237.07;0.99;;;;;;;;;;;;;;;;;;;SMX03;1;0;0.2857;0.2857;1;SRM06;1;0;0.6667;0.6667;1;SPM03D;1;0;1;1;1;SWE02;1;0;1.3333;1.3333;1
MULTIPLEBULK;SR09;CON-C-MO11ML;;CON-C-C-BULK;10;50;SECONDARY_LINE;SAP01;2;0;240;237.07;0.99;;;;;;;;;;;;;;;;;;;SMX03;1;0;0.2222;0.2222;1;SRM06;1;0;0.6667;0.6667;1;SPM03D;1;0;1;1;1;SWE02;1;0;1.3333;1.3333;1
MULTIPLEBULK;SR09;CON-C-MO11ML;;CON-C-HM-BULK;10;50;SECONDARY_LINE;SAP01;3;0;240;237.07;0.99;;;;;;;;;;;;;;;;;;;SMX03;1;0;0.2222;0.2222;1;SRM06;1;0;0.6667;0.6667;1;SPM03D;1;0;1;1;1;SWE02;1;0;1.3333;1.3333;1
MULTIPLEBULK;SR09;CON-C-MO11ML;;CON-C-LB-BULK;10;50;SECONDARY_LINE;SAP01;4;0;240;237.07;0.99;;;;;;;;;;;;;;;;;;;SMX03;1;0;0.2857;0.2857;1;SRM06;1;0;0.6667;0.6667;1;SPM03D;1;0;1;1;1;SWE02;1;0;1.3333;1.3333;1
MULTIPLEBULK;SR09;CON-C-MO11ML;;CON-C-UM-BULK;10;50;SECONDARY_LINE;SAP01;5;0;240;237.07;0.99;;;;;;;;;;;;;;;;;;;SMX03;1;0;0.1333;0.1333;1;SRM06;1;0;0.6667;0.6667;1;SPM03D;1;0;1;1;1;SWE02;1;0;1.3333;1.3333;1
MULTIPLEBULK;SR09;CON-C-MO11ML;;CON-C-B-BULK;1;5;NOMINAL_LINE;SAP01;1;0;240;200.75;0.84;;;;;;;;;;;;;;;;;;;SMX04;1;0;0.25;0.25;1;SRMLAB;1;0;1.33;1;0.75;SMU01;1;0;2;2;1;SWE01;1;0;1.33;1.33;1
MULTIPLEBULK;SR09;CON-C-MO11ML;;CON-C-C-BULK;1;5;NOMINAL_LINE;SAP01;2;0;240;200.75;0.84;;;;;;;;;;;;;;;;;;;SMX04;1;0;0.25;0.25;1;SRMLAB;1;0;1.33;1;0.75;SMU01;1;0;2;2;1;SWE01;1;0;1.33;1.33;1
MULTIPLEBULK;SR09;CON-C-MO11ML;;CON-C-HM-BULK;1;5;NOMINAL_LINE;SAP01;3;0;240;200.75;0.84;;;;;;;;;;;;;;;;;;;SMX04;1;0;0.25;0.25;1;SRMLAB;1;0;1.33;1;0.75;SMU01;1;0;2;2;1;SWE01;1;0;1.33;1.33;1
MULTIPLEBULK;SR09;CON-C-MO11ML;;CON-C-LB-BULK;1;5;NOMINAL_LINE;SAP01;4;0;240;200.75;0.84;;;;;;;;;;;;;;;;;;;SMX04;1;0;0.25;0.25;1;SRMLAB;1;0;1.33;1;0.75;SMU01;1;0;2;2;1;SWE01;1;0;1.33;1.33;1
MULTIPLEBULK;SR09;CON-C-MO11ML;;CON-C-UM-BULK;1;5;NOMINAL_LINE;SAP01;5;0;240;200.75;0.84;;;;;;;;;;;;;;;;;;;SMX04;1;0;0.25;0.25;1;SRMLAB;1;0;1.33;1;0.75;SMU01;1;0;2;2;1;SWE01;1;0;1.33;1.33;1
STD;SR09;CON-CPADC01-W;;CON-CPADC01-BULK;3;3;NOMINAL_LINE;BTP02;1;0.879;720;610.91;0.85;;;;;;;;;;;;;;;;;;;SVB06;1;0;0.1111;0.1;0.9;SRM07;1;0;0.5556;0.5556;1;SPM07D;1;0;1;1;1;SWE01;1;0;1;1;1
STD;SR09;CON-CPADC02-W;;CON-CPADC02-BULK;3;3;NOMINAL_LINE;BTP02;1;0.879;720;610.91;0.85;;;;;;;;;;;;;;;;;;;SVB06;1;0;0.1111;0.1042;0.94;SRM07;1;0;0.5556;0.5556;1;SPM07D;1;0;1;1;1;SWE01;1;0;1;1;1
STD;SR09;CON-SMULCA-EM;;CON-SMULCA-BULK;80;80;NOMINAL_LINE;LIP11;1;0.0448;420;415.36;0.99;;;;;;;;;;;;;;;;;;;SVB03;1;0;0.2;0.13;0.67;SRM08;1;0;0.67;0.4;0.6;SPM09D;1;0;1;1;1;SWE01;1;0;1;1;1
STD;SR09;CON-SMULCB-EM;;CON-SMULCB-BULK;45;45;NOMINAL_LINE;LIP11;1;0.0613;420;411.68;0.98;;;;;;;;;;;;;;;;;;;SVB02;1;0;0.2;0.14;0.71;SRM07;1;0;0.67;0.57;0.86;SPM07D;1;0;1;1;1;SWE01;1;0;1;1;1
STD;SR09;CON-SMULCB-EM;;CON-SMULCB-BULK;80;80;SECONDARY_LINE;LIP11;1;0.0448;420;415.36;0.99;;;;;;;;;;;;;;;;;;;SVB03;1;0;0.2;0.13;0.67;SRM08;1;0;0.31;0.24;0.76;SPM09D;1;0;0.8;0.67;0.83;SWE01;1;0;0.8;0.8;1
STD;SR09;CON-SMULCC-EM;;CON-SMULCC-BULK;45;45;NOMINAL_LINE;LIP11;1;0.0613;420;411.68;0.98;;;;;;;;;;;;;;;;;;;SVB02;1;0;0.2;0.14;0.71;SRM07;1;0;0.67;0.57;0.86;SPM07D;1;0;1;1;1;SWE01;1;0;1;1;1
STD;SR09;CON-SMULCC-EM;;CON-SMULCC-BULK;80;80;SECONDARY_LINE;LIP11;1;0.0448;420;415.36;0.99;;;;;;;;;;;;;;;;;;;SVB03;1;0;0.2;0.13;0.67;SRM08;1;0;0.31;0.24;0.76;SPM09D;1;0;0.8;0.67;0.83;SWE01;1;0;0.8;0.8;1
SFGPack;SR12;CONP-TSEB-E;;;1;1;NOMINAL_LINE;;;;;;;;;;;;;;;;;;;SPL01;1;0;90;90;1;;;;;;;;;;;;;;;;;;;;;;;;
SFGPack;SR12;DUSS-CADLP00R0-W;;;1;1;NOMINAL_LINE;;;;;;;;;;;;;;;;;;;SPL01;1;0;480;476.37;0.99;;;;;;;;;;;;;;;;;;;;;;;;
SFGPack;SR12;DUSS-CADLP00R0-W;;;1;1;SECONDARY_LINE;;;;;;;;;;;;;;;;;;;SPL01;1;0;480;476.37;0.99;;;;;;;;;;;;;;;;;;;;;;;;
SFGPack;SR12;DUSS-CADLP13R0-W;;;1;1;NOMINAL_LINE;;;;;;;;;;;;;;;;;;;SPL01;1;0;480;479.09;1;;;;;;;;;;;;;;;;;;;;;;;;
SFGPack;SR12;DUSS-CADLP13R0-W;;;1;1;SECONDARY_LINE;;;;;;;;;;;;;;;;;;;SPL01;1;0;480;479.09;1;;;;;;;;;;;;;;;;;;;;;;;;
SFGPack;SR12;DUSS-CADLP14R0-W;;;1;1;NOMINAL_LINE;;;;;;;;;;;;;;;;;;;SPL01;1;0;480;479.25;1;;;;;;;;;;;;;;;;;;;;;;;;
SFGPack;SR12;DUSS-CADLP14R0-W;;;1;1;SECONDARY_LINE;;;;;;;;;;;;;;;;;;;SPL01;1;0;480;479.25;1;;;;;;;;;;;;;;;;;;;;;;;;
