Process code;Routing type;Item code;Refill code;Bulk code;Bulk size;Bulk size_FM;Priority;Filling/Packing line code;Filling/Packing ALT.;Filling/Packing loss rate;Filling/Packing production rate;Filling/Packing production rate with change over;Efficiency of Filling/Packing;Filling code;Filling ALT.;Filling loss rate;Filling production rate;Filling production rate with change over;Efficiency of Filling;Labelling code;Labelling ALT.;Labelling loss rate;Labelling production rate;Labelling production rate with change over;Efficiency of labelling;Mixing code;Mixing ALT.;Mixing loss rate;Mixing production rate;Mixing production rate with change over;Efficiency of mixing;Milling code;Milling ALT.;Milling loss rate;Milling production rate;Milling production rate with change over;Efficiency of milling;Premix code;Premix ALT.;Premix loss rate;Premix production rate;Premix production rate with change over;Efficiency of premix;Weighing code;Weighing ALT.;Weighing loss rate;Weighing production rate;Weighing production rate with change over;Efficiency of weighing;flag item;flag bulk;flag refill
SFGPack;LR13;BOTO-SBMIS10R0-EM;;;1;1;NOMINAL_LINE;;;;;;;;;;;;;LBL05;1;0;390;390;1;;;;;;;;;;;;;;;;;;;;;;;;;Pc(s);;
SFGPack;LR13;BOTO-SBMOM10R0-EM;;;1;1;SECONDARY_LINE;;;;;;;;;;;;;LBL05;1;0;390;390;1;;;;;;;;;;;;;;;;;;;;;;;;;Pc(s);;
SFGPack;LR13;BOTO-SBMOM10R0-EM;;;1;1;NOMINAL_LINE;;;;;;;;;;;;;LBL06;1;0;390;390;1;;;;;;;;;;;;;;;;;;;;;;;;;Pc(s);;
SFGPack;LR13;BOTO-SBMPD10R0-EM;;;1;1;SECONDARY_LINE;;;;;;;;;;;;;LBL05;1;0;390;390;1;;;;;;;;;;;;;;;;;;;;;;;;;Pc(s);;
SFGPack;LR13;BOTO-SBMPD10R0-EM;;;1;1;NOMINAL_LINE;;;;;;;;;;;;;LBL06;1;0;390;390;1;;;;;;;;;;;;;;;;;;;;;;;;;Pc(s);;
SFGPack;LR13;BOTO-SBMRF10R0-EM;;;1;1;SECONDARY_LINE;;;;;;;;;;;;;LBL05;1;0;390;390;1;;;;;;;;;;;;;;;;;;;;;;;;;Pc(s);;
SFGPack;LR13;BOTO-SBMRF10R0-EM;;;1;1;NOMINAL_LINE;;;;;;;;;;;;;LBL06;1;0;390;390;1;;;;;;;;;;;;;;;;;;;;;;;;;Pc(s);;
SFGPack;LR13;BOTP-CWSREV1450-P;;;1;1;NOMINAL_LINE;;;;;;;;;;;;;MPL02;1;0;330;330;1;;;;;;;;;;;;;;;;;;;;;;;;;Pc(s);;
SFGPack;LR13;BOTP-DPPN_L200-P;;;1;1;NOMINAL_LINE;;;;;;;;;;;;;MPL01;1;0;300;300;1;;;;;;;;;;;;;;;;;;;;;;;;;Pc(s);;
SFGPack;LR13;BOTP-ERBSAS30-T;;;1;1;NOMINAL_LINE;;;;;;;;;;;;;MPL01;1;0;540;540;1;;;;;;;;;;;;;;;;;;;;;;;;;Pc(s);;
