"Product Korporat Code","BoM Lines/Product Template/Korporat Code","BoM Lines/Quantity","BoM Lines/Product Unit of Measure"
"","IBOX-12ELRLR1-W","0.08333","Pc(s)"
"","KB-WLER1-KMK125CF","0.00694","Pc(s)"
"MY-RELIPHPB-W","EL-IPHPB-W1G","1.0","Pc(s)"
"","STIC-PAPBBPOEM-WM","1.0","Pc(s)"
"MY-RMPBNS-W","KB-WLS20R2-KMK125CF","0.02778","Pc(s)"
"","M-RPBNS-W20ML","1.0","Pc(s)"
"","STIC-PALR1-EM","1.0","Pc(s)"
"L-EMC03-W4GR","L-EMC03-BULK","0.004","kg"
"","BOTO-EMLCR1-W","1.0","Pc(s)"
"","PLU-BEMLCR0-W","1.0","Pc(s)"
"","CAPA-EMLCR2-W","1.0","Pc(s)"
"","STIC-BOTEMLC03R2-W","1.0","Pc(s)"
"","DUS-EMLC03C-WILD","1.0","Pc(s)"
"","STIC-HEMLCR1-W","1.0","Pc(s)"
"","IBOX-RRPEMLCR0-W","0.08333","Pc(s)"
"","KB-WIOTAR1-W","0.00694","Pc(s)"
"ES-PRPNS-EM3.3GR","ES-W0I-01-RP-W1,1GR","1.0","Pc(s)"
"","ES-W1F-01-RP-W1,1GR","1.0","Pc(s)"
"","ES-BV-RP-W1,1GR","1.0","Pc(s)"
"","CONT-ESPR-ESAN","1.0","Pc(s)"
"","KUAS-ESSNBRWP2K-BT","1.0","Pc(s)"
"","PLAS-DMESBOR0-E","1.0","Pc(s)"
"","STIC-BOTESN-ECNF","1.0","Pc(s)"
"","DUS-PPESNUR1-E","1.0","Pc(s)"
"","KB-EBR1-KMK125CF","0.00793","Pc(s)"
"L-IPMLMP11-W","KB-WIPSKMMR1-W","0.00757","Pc(s)"
"","IBOX-12IMLPR1-WDNF","0.08333","Pc(s)"
"","DUS-MLMPFE11R0-IP","1.0","Pc(s)"
"","STIC-BMLMPFE11R0-IP","1.0","Pc(s)"
"","CAPA-CWIMLPR0-W","1.0","Pc(s)"
"","BOTP-WIMLMPFER0-IP","1.0","Pc(s)"
"","L-IPMLMP11-BULK","0.0055","kg"
"ES-TLFS-MO6G","ES-SGBS2GRNFS-MO","1.0","Pc(s)"
"","PLAS-DMESBOR0-MO","1.0","Pc(s)"
