"External ID","Product/Product/Internal Reference","Product/Product/Display Name","BoM Lines/Product/Display Name","BoM Lines/Quantity","BoM Lines/Product Unit of Measure/Display Name","Reference","Main"
"","","","[STIC-BMKLC02R2-OMG] Sticker Bottom Matte KLC 02 R2 OMG,PP Silver Bright,1W,d=12mm,NoFinishing","1.0","Pc(s)","",""
"__export__.mrp_bom_238_4179c8c3","L-TMLCC-OMG","[L-TMLCC-OMG] OMG OH MY GLAM Tester Matte Kiss Lip Cream 03 Flame 3.5 g","[L-MLCC-BULK] OMG OH MY GLAM Matte Kiss Lip Cream 03 Flame","3.5","g","2","True"
"","","","[CAPA-MKLCR0-OMG] Cap+Applicator+Wiper Matte KLC OMG,LC-002,Cap:ABS/AS-ABS,Applicator:PP+FlockTip,Wiper:LDPE,InjectionBlack,NoFinishing","1.0","pc(s)","",""
"","","","[BOTO-MKLCR0-OMG] Bottle Matte KLC OMG,LC-002,AS,Injection Clear,1PassPrinting,NoFinishing","1.0","pc(s)","",""
"","","","[STIC-BMKLC03R2-OMG] Sticker Bottom Matte KLC 03 R2 OMG,PP Silver Bright,1W,d=12mm,NoFinishing","1.0","Pc(s)","",""
"__export__.mrp_bom_240_a65ff323","L-TMLCE-OMG","[L-TMLCE-OMG] OMG OH MY GLAM Tester Matte Kiss Lip Cream 05 Punch 3.5 g","[L-MLCE-BULK] OMG OH MY GLAM Matte Kiss Lip Cream 05 Punch","3.5","g","2","True"
"","","","[CAPA-MKLCR0-OMG] Cap+Applicator+Wiper Matte KLC OMG,LC-002,Cap:ABS/AS-ABS,Applicator:PP+FlockTip,Wiper:LDPE,InjectionBlack,NoFinishing","1.0","pc(s)","",""
"","","","[BOTO-MKLCR0-OMG] Bottle Matte KLC OMG,LC-002,AS,Injection Clear,1PassPrinting,NoFinishing","1.0","pc(s)","",""
"","","","[STIC-BMKLC05R2-OMG] Sticker Bottom Matte KLC 05 R2 OMG,PP Silver Bright,1W,d=12mm,NoFinishing","1.0","Pc(s)","",""
"__export__.mrp_bom_242_dcca91fd","L-TMLCG-OMG","[L-TMLCG-OMG] OMG OH MY GLAM Tester Matte Kiss Lip Cream 07 Delight 3.5 g","[L-MLCG-BULK] OMG OH MY GLAM Matte Kiss Lip Cream 07 Delight","3.5","g","2","True"
"","","","[CAPA-MKLCR0-OMG] Cap+Applicator+Wiper Matte KLC OMG,LC-002,Cap:ABS/AS-ABS,Applicator:PP+FlockTip,Wiper:LDPE,InjectionBlack,NoFinishing","1.0","pc(s)","",""
"","","","[BOTO-MKLCR0-OMG] Bottle Matte KLC OMG,LC-002,AS,Injection Clear,1PassPrinting,NoFinishing","1.0","pc(s)","",""
"","","","[STIC-BMKLC07R2-OMG] Sticker Bottom Matte KLC 07 R2 OMG,PP Silver Bright,1W,d=12mm,NoFinishing","1.0","Pc(s)","",""
"__export__.mrp_bom_41_758146ec","L-TMLCH-OMG","[L-TMLCH-OMG] OMG OH MY GLAM Tester Matte Kiss Lip Cream 08 Skyfall 3.5 g","[L-MLCH-BULK] OMG OH MY GLAM Matte Kiss Lip Cream 08 Skyfall","3.5","g","1","False"
"","","","[CAPA-MKLCR0-OMG] Cap+Applicator+Wiper Matte KLC OMG,LC-002,Cap:ABS/AS-ABS,Applicator:PP+FlockTip,Wiper:LDPE,InjectionBlack,NoFinishing","1.0","pc(s)","",""
"","","","[BOTO-MKLCR0-OMG] Bottle Matte KLC OMG,LC-002,AS,Injection Clear,1PassPrinting,NoFinishing","1.0","pc(s)","",""
"","","","[STIC-BMKLC08R0-OMG] Sticker Bottom Matte KLC 08 OMG,PET Silver Bright,1W,d=14mm,NoFinishing","1.0","pc(s)","",""
"__export__.mrp_bom_243_02e41bdc","L-TMLCH-OMG","[L-TMLCH-OMG] OMG OH MY GLAM Tester Matte Kiss Lip Cream 08 Skyfall 3.5 g","[L-MLCH-BULK] OMG OH MY GLAM Matte Kiss Lip Cream 08 Skyfall","3.5","g","2","True"
"","","","[CAPA-MKLCR0-OMG] Cap+Applicator+Wiper Matte KLC OMG,LC-002,Cap:ABS/AS-ABS,Applicator:PP+FlockTip,Wiper:LDPE,InjectionBlack,NoFinishing","1.0","pc(s)","",""
"","","","[BOTO-MKLCR0-OMG] Bottle Matte KLC OMG,LC-002,AS,Injection Clear,1PassPrinting,NoFinishing","1.0","pc(s)","",""
"","","","[STIC-BMKLC08R2-OMG] Sticker Bottom Matte KLC 08 R2 OMG,PP Silver Bright,1W,d=12mm,NoFinishing","1.0","Pc(s)","",""
"__export__.mrp_bom_42_7757669a","L-TMLCI-OMG","[L-TMLCI-OMG] OMG OH MY GLAM Tester Matte Kiss Lip Cream 09 Charm 3.5 g","[L-MLCI-BULK] OMG OH MY GLAM Matte Kiss Lip Cream 09 Charm","3.5","g","1","False"
"","","","[CAPA-MKLCR0-OMG] Cap+Applicator+Wiper Matte KLC OMG,LC-002,Cap:ABS/AS-ABS,Applicator:PP+FlockTip,Wiper:LDPE,InjectionBlack,NoFinishing","1.0","pc(s)","",""
"","","","[BOTO-MKLCR0-OMG] Bottle Matte KLC OMG,LC-002,AS,Injection Clear,1PassPrinting,NoFinishing","1.0","pc(s)","",""
