"SNFG","Reference","Product","Sediaan","Scheduled Start Date","Scheduled Finished Date","Operation Type","Manufacturing Order","State","Streamline","Unit of Measure"
"S-USSEC-W/I0017","S-USSEC-W/I0017","[S-USSEC-W] Wardah Hairfall Treatment Shampoo 170 ml","L","2023-01-28","2023-01-28","PTI: Jatake 2 - Kemas","MO/230003071","Confirmed","B","Pc(s)"
"S-USSEC-W/I0017","MO-S-USS-BULK/I0017","[S-USS-BULK] Wardah Hair Fall Treatment Shampoo Bulk","L","2023-01-25","2023-01-28","PTI: Jatake 2 - Olah","MO/230003723","Confirmed","B","kg"
"M-LNCN2-W/I0003","M-LNCN2-W/I0003","[M-LNCN2-W] Wardah Lightening Night Cream Advanced Niacinamide 30 g","L","2023-01-26","2023-01-28","PTI: Jatake 2 - Kemas","MO/230003074","Confirmed","C","Pc(s)"
"M-LNCN2-W/I0003","MO-M-LNCN-BULK/I0005","[M-LNCN-BULK] Lightening Night Cream Advanced Niacinamide","L","2023-01-26","2023-01-28","PTI: Jatake 2 - Olah","MO/230004083","Confirmed","C","kg"
"M-LNCN2-W/I0004","M-LNCN2-W/I0004","[M-LNCN2-W] Wardah Lightening Night Cream Advanced Niacinamide 30 g","L","2023-01-27","2023-01-30","PTI: Jatake 2 - Kemas","MO/230003075","Confirmed","C","Pc(s)"
"M-LNCN2-W/I0004","MO-M-LNCN-BULK/I0006","[M-LNCN-BULK] Lightening Night Cream Advanced Niacinamide","L","2023-01-27","2023-01-30","PTI: Jatake 2 - Olah","MO/230004084","Confirmed","C","kg"
"HBW-BWN2C-BD/I0003","HBW-BWN2C-BD/I0003","[HBW-BWN2C-BD] Biodef Natural Protection Mint + Green Tea Body Wash Antiseptik Alami Pouch 400 ml","L","2023-01-27","2023-01-30","PTI: Jatake 2 - Kemas","MO/230003077","Confirmed","C","Pc(s)"
"HBW-BWN2C-BD/I0003","MO-HBW-BWC-BULK/I0004","[HBW-BWC-BULK] Biodef Natural Protection Mint + Green Tea Body Wash Antiseptik Alami","L","2023-01-26","2023-01-30","PTI: Jatake 2 - Olah","MO/230003703","Confirmed","C","kg"
"HBW-BWN2A-BD/I0006","HBW-BWN2A-BD/I0006","[HBW-BWN2A-BD] Biodef Natural Protection Mint + Sea Salt Body Wash Antiseptik Alami Pouch 400 ml","L","2023-01-28","2023-01-30","PTI: Jatake 2 - Kemas","MO/230003078","Confirmed","C","Pc(s)"
"HBW-BWN2A-BD/I0006","MO-HBW-BW-BULK/I0007","[HBW-BW-BULK] Biodef Natural Protection Mint + Sea Salt Body Wash Antiseptik Alami","L","2023-01-26","2023-01-30","PTI: Jatake 2 - Olah","MO/230003865","Confirmed","C","kg"
"HBW-BWN2A-BD/I0007","HBW-BWN2A-BD/I0007","[HBW-BWN2A-BD] Biodef Natural Protection Mint + Sea Salt Body Wash Antiseptik Alami Pouch 400 ml","L","2023-01-28","2023-01-30","PTI: Jatake 2 - Kemas","MO/230003079","Confirmed","C","Pc(s)"
"HBW-BWN2A-BD/I0007","MO-HBW-BW-BULK/I0008","[HBW-BW-BULK] Biodef Natural Protection Mint + Sea Salt Body Wash Antiseptik Alami","L","2023-01-26","2023-01-30","PTI: Jatake 2 - Olah","MO/230003866","Confirmed","C","kg"
"MASK-SLA-EM5GR/I0001","MASK-SLA-EM5GR/I0001","[MASK-SLA-EM5GR] Emina Star Lash Aqua Mascara 5 gr (Pc(s))","L","2023-01-28","2023-01-30","PTI: Jatake 2 - Kemas","MO/230003081","Confirmed","C","Pc(s)"
"MASK-SLA-EM5GR/I0001","MO-MASK-SLA-BULK/I0001","[MASK-SLA-BULK] Maskara Star Lash Aqua Bulk (Kg)","L","2023-01-27","2023-01-30","PTI: Jatake 2 - Olah","MO/230004095","Confirmed","C","kg"
"HT-P1G-P200/I0003","MO-HT-G-BULK/I0005","[HT-G-BULK] Bulk Hair Tonic Ginseng","L","2023-01-23","2023-01-25","PTI: Jatake 2 - Olah","MO/230003615","Confirmed","C","kg"
"HT-P1G-P450/I0003","HT-P1G-P450/I0003","[HT-P1G-P450] Hair Tonic Ginseng, 450 ml","L","2023-01-27","2023-01-30","PTI: Jatake 2 - Kemas","MO/230003083","Confirmed","C","Pc(s)"
