"#","Nomo","Snfg","Snfg Komponen","Posisi","Jenis Proses","Lanjutan","Datetime Write","Start","Due","Nama Fg","Process Status","Is Done","Koitem FG","No Batch","Actions"
"72","MO-L-IMC010-BULK/I0007","L-IMC010-MO6,5G/I0007","L-IMC010-MO6,5G/I0007","PENIMBANGAN","JADWAL BARU","1","2023-04-05 06:26:00+07","2023-04-03","2023-04-09","MAKE OVER Intense Matte Lip Cream 010 Lux 6,5 g (Pc(s))","Next Process","(not set)","L-IMC010-MO6,5G","(not set)",""
"73","MO-M-LDCN-BULK/I0036","M-LDCN1-W/I0017","M-LDCN1-W/I0017","KEMAS_2","FILLING-PACKING_INLINE","1","2023-04-05 06:26:00+07","2023-04-03","2023-04-05","Wardah Lightening Day Cream Advanced Niacinamide 20 mL","Next Process","(not set)","M-LDCN1-W","DJ03A",""
"74","MO-L-CUM07-BULK/I0010","L-CUM07-W/I0010","L-CUM07-W/I0010","PENGOLAHAN","OLAH 1","1","2023-04-05 06:26:00+07","2023-04-03","2023-04-09","Wardah Colorfit Ultralight Matte Lipstick 07 Crimson Red 3.6 g","Next Process","(not set)","L-CUM07-W","DJ05A",""
"75","MO-SRM-RRYUMS-BULK/I0005","SRM-RRYIS-W/I0003","SRM-RRYIS-W/I0003","KEMAS_2","FILLING-PACKING_INLINE","3","2023-04-05 06:26:00+07","2023-04-01","2023-04-08","Wardah Renew You Intensive Serum 15 ml (Pc(s))","Next Process","(not set)","SRM-RRYIS-W","DJ03A",""
"76","MO-REM-EEMB-BULK/I0033","REM-EEM-W100ML/I0024","REM-EEM-W100ML/I0024/02/01","QC BULK","MASUK SPESIFIKASI","1","2023-04-05 06:25:34+07","2023-04-04","2023-04-08","Wardah EyeXpert Eye &amp; Lip Makeup Remover 100 ml","Next Process","Done","REM-EEM-W100ML","DJ05A",""
"77","MO-SL--BULK/I0001","SL-P1-P200/I0001","SL-P1-P200/I0001","KEMAS_2","FILLING-PACKING_INLINE","1","2023-04-05 06:25:00+07","2023-04-04","2023-04-06","Putri Setting Lotion 200 ML (Pc(s))","Next Process","(not set)","SL-P1-P200","DJ04A",""
"78","MO-REM-SBMW-BULK/I0040","REM-SBMW-W100ML/I0017","REM-SBMW-W100ML/I0017","KEMAS_2","FILLING-PACKING_INLINE","1","2023-04-05 06:24:00+07","2023-04-03","2023-04-05","Wardah Nature Daily Seaweed Cleansing Micellar Water 100 ml","Next Process","(not set)","REM-SBMW-W100ML","DJ03B",""
"79","MO-SS-UVSDS-BULK/I0070","SS-UVSDSPB-W/I0053","SS-UVSDSPB-W/I0053","KEMAS_2","PACKING","3","2023-04-05 06:24:00+07","2023-03-20","2023-04-05","Wardah UV Shield Essential Sunscreen Gel SPF 30 (New Blister)","Next Process","(not set)","SS-UVSDSPB-W","DJ03A",""
"80","MO-FT-KFT-BULK/I0029","FT-KFT-KA/I0029","FT-KFT-KA/I0029","QC BULK","MASUK SPESIFIKASI","1","2023-04-05 06:23:28+07","2023-04-04","2023-04-06","Kahf All-in-One Power Toning Face Spray 100 ml","Next Process","Done","FT-KFT-KA","DJ04A",""
"81","MO-TC-PC03-BULK/I0042","TC-RPC03-MO12G/I0016","TC-RPC03-MO12G/I0016","KEMAS_2","PRESS+FILLING+PACKING","1","2023-04-05 06:23:00+07","2023-03-20","2023-04-08","MAKE OVER Perfect Cover Refill TWC 03 Maple 12 g (Pc(s))","Next Process","(not set)","TC-RPC03-MO12G","DJ04A",""
"82","MO-FW-CD-BULK/I0038","FW-CD-W100ML/I0019","FW-CD-W100ML/I0019","KEMAS_2","FILLING-PACKING_INLINE","1","2023-04-05 06:23:00+07","2023-04-03","2023-04-19","Wardah C-Defense Energizing Creamy Wash 100 ml (Pc(s))","Next Process","(not set)","FW-CD-W100ML","DJ04A",""
"83","MO-HC-A2-BULK/I0016","HC-P1A2-P200/I0008","HC-P1A2-P200/I0008","QC BULK","MASUK SPESIFIKASI","1","2023-04-05 06:21:36+07","2023-04-04","2023-04-06","Putri Pure Clean Hair Conditioner Apple 200 ML (Pc(s))","Next Process","Done","HC-P1A2-P200","DJ04A",""
"84","MO-F-PTCMCW33-BULK/I0012","F-PTCMCW33-MO/I0012","F-PTCMCW33-MO/I0012","PENGOLAHAN","OLAH 2","1","2023-04-05 06:21:00+07","2023-04-03","2023-04-06","MAKE OVER Powerstay Total Cover Matte Cream Foundation W33 Honey Beige 12 g","Next Process","(not set)","F-PTCMCW33-MO","DJ04A",""
"85","MO-B-R3L02B-BULK/I0023","B-R3L02B-W/I0023","B-R3L02B-W/I0023","PENGOLAHAN","OLAH 1","1","2023-04-05 06:21:00+07","2023-04-03","2023-04-08","Wardah Lightening Matte Powder 02 Beige 20 g","Next Process","(not set)","B-R3L02B-W","DJ05A",""
"86","MO-F-LLF04-BULK/I0008","F-LLFM4-W/I0004","F-LLFM4-W/I0004","KEMAS_2","PACKING","2","2023-04-05 06:21:00+07","2023-03-28","2023-04-04","Wardah Lightening Liquid Foundation 04. Natural 6 ml","Next Process","(not set)","F-LLFM4-W","CJ29A",""
"87","MO-B-CLCLPA-BULK/I0022","B-CLCLPA-W/I0022","B-CLCLPA-W/I0022","PENGOLAHAN","OLAH 1","1","2023-04-05 06:20:00+07","2023-04-04","2023-04-08","Wardah Colorfit Mattifying Powder 22N Light Ivory 15 g","Next Process","(not set)","B-CLCLPA-W","DJ05A",""
"88","MO-HBW-BW-BULK/I0048","HBW-BWN2A-BD/I0031","HBW-BWN2A-BD/I0031","PENIMBANGAN","JADWAL BARU","1","2023-04-05 06:20:00+07","2023-04-04","2023-04-05","Biodef Natural Protection Mint + Sea Salt Body Wash Antiseptik Alami Pouch 400 ml","Next Process","(not set)","HBW-BWN2A-BD","(not set)",""
